,Year,Month,Day,EPS
0,2023,11,2,1.48
1,2023,8,3,1.27
2,2023,5,4,1.54
3,2023,2,2,1.89
4,2022,10,27,1.30
5,2022,7,28,1.21
6,2022,4,28,1.54
7,2022,1,27,2.12
8,2021,10,28,1.25
9,2021,7,27,1.31
10,2021,4,28,1.42
11,2021,1,27,1.71
12,2020,10,29,0.75
13,2020,7,30,0.66
14,2020,4,30,0.65
15,2020,1,28,1.27
16,2019,10,30,0.77
17,2019,7,30,0.55
18,2019,4,30,0.63
19,2019,1,29,1.06
20,2018,11,1,0.74
21,2018,7,31,0.59
22,2018,5,1,0.70
23,2018,2,1,0.99
24,2017,11,2,0.52
25,2017,8,1,0.42
26,2017,5,2,0.53
27,2017,1,31,0.85
28,2016,10,25,0.42
29,2016,7,26,0.36
30,2016,4,26,0.48
31,2016,1,26,0.83
32,2015,10,27,0.50
33,2015,7,21,0.47
34,2015,4,27,0.59
35,2015,1,27,0.77
36,2014,10,20,0.36
37,2014,7,22,0.32
38,2014,4,23,0.42
39,2014,1,27,0.52
40,2013,10,28,0.30
41,2013,7,23,0.27
42,2013,4,23,0.36
43,2013,1,23,0.50
44,2012,10,25,0.31
45,2012,7,24,0.34
46,2012,4,24,0.44
47,2012,1,24,0.50
48,2011,10,18,0.25
49,2011,7,19,0.28
50,2011,4,20,0.23
51,2011,1,18,0.23
52,2010,10,18,0.17
53,2010,7,20,0.13
54,2010,4,20,0.12
55,2010,1,25,0.13
56,2009,10,19,0.10
57,2009,7,21,0.07
58,2009,4,22,0.06
59,2009,1,21,0.09
60,2008,10,21,0.09
61,2008,7,21,0.05
62,2008,4,23,0.04
63,2008,1,22,0.07
64,2007,10,22,0.04
65,2007,7,25,0.03
66,2007,4,25,0.03
67,2007,1,17,0.04
68,2006,10,18,0.02
69,2006,7,19,0.02
70,2006,4,19,0.02
71,2006,1,18,0.02
72,2005,10,11,0.02
73,2005,7,13,0.01
74,2005,4,13,0.01
75,2005,1,12,0.01
76,2004,10,13,0.00
77,2004,7,14,0.00
78,2004,4,14,0.00
79,2004,1,14,0.00
