,Year,Month,Day,ROA
0,2023,11,2,27.74%
1,2023,8,3,27.56%
2,2023,5,4,28.22%
3,2023,2,2,27.29%
4,2022,10,27,27.20%
5,2022,7,28,28.99%
6,2022,4,28,29.96%
7,2022,1,27,28%
8,2021,10,28,26.86%
9,2021,7,27,26.56%
10,2021,4,28,23.32%
11,2021,1,27,18.96%
12,2020,10,29,17.28%
13,2020,7,30,17.82%
14,2020,4,30,17.81%
15,2020,1,28,16.86%
16,2019,10,30,15.52%
17,2019,7,30,16.19%
18,2019,4,30,16.54%
19,2019,1,29,16.04%
20,2018,11,1,15.41%
21,2018,7,31,15.49%
22,2018,5,1,14.96%
23,2018,2,1,13.63%
24,2017,11,2,13.69%
25,2017,8,1,13.99%
26,2017,5,2,14.29%
27,2017,1,31,14.21%
28,2016,10,25,14.86%
29,2016,7,26,16.04%
30,2016,4,26,17.52%
31,2016,1,26,19.38%
32,2015,10,27,19.34%
33,2015,7,21,20.09%
34,2015,4,27,19.77%
35,2015,1,27,19.01%
36,2014,10,20,17.29%
37,2014,7,22,17.95%
38,2014,4,23,18.58%
39,2014,1,27,17.64%
40,2013,10,28,18.38%
41,2013,7,23,20.08%
42,2013,4,23,22.19%
43,2013,1,23,24.06%
44,2012,10,25,26.52%
45,2012,7,24,28.74%
46,2012,4,24,29.97%
47,2012,1,24,28.24%
48,2011,10,18,25.53%
49,2011,7,19,25.95%
50,2011,4,20,24.50%
51,2011,1,18,23.14%
52,2010,10,18,21.71%
53,2010,7,20,21.81%
54,2010,4,20,20.56%
55,2010,1,25,19.26%
56,2009,10,19,18.24%
57,2009,7,21,18.86%
58,2009,4,22,19.36%
59,2009,1,21,18.38%
60,2008,10,21,18.48%
61,2008,7,21,16.62%
62,2008,4,23,17.08%
63,2008,1,22,16.92%
64,2007,10,22,15.60%
65,2007,7,25,16.30%
66,2007,4,25,16.55%
67,2007,1,17,14.59%
68,2006,10,18,12.67%
69,2006,7,19,14.10%
70,2006,4,19,14.14%
71,2006,1,18,13.17%
72,2005,10,11,12.74%
73,2005,7,13,10.85%
74,2005,4,13,8.62%
75,2005,1,12,6.31%
76,2004,10,13,3.68%
