,Year,Month,Day,ROE
0,2023,11,2,156.08%
1,2023,8,3,157.22%
2,2023,5,4,151.74%
3,2023,2,2,167.77%
4,2022,10,27,196.96%
5,2022,7,28,171.47%
6,2022,4,28,151.24%
7,2022,1,27,139.79%
8,2021,10,28,150.07%
9,2021,7,27,135.04%
10,2021,4,28,110.31%
11,2021,1,27,96.54%
12,2020,10,29,87.87%
13,2020,7,30,80.83%
14,2020,4,30,72.96%
15,2020,1,28,64.25%
16,2019,10,30,61.06%
17,2019,7,30,57.74%
18,2019,4,30,54.01%
19,2019,1,29,50.41%
20,2018,11,1,55.56%
21,2018,7,31,48.82%
22,2018,5,1,42.02%
23,2018,2,1,36.04%
24,2017,11,2,36.07%
25,2017,8,1,35.23%
26,2017,5,2,34.11%
27,2017,1,31,34.15%
28,2016,10,25,35.62%
29,2016,7,26,37.77%
30,2016,4,26,38.85%
31,2016,1,26,41.89%
32,2015,10,27,44.74%
33,2015,7,21,40.37%
34,2015,4,27,37.06%
35,2015,1,27,36.05%
36,2014,10,20,35.42%
37,2014,7,22,31.88%
38,2014,4,23,31.38%
39,2014,1,27,28.56%
40,2013,10,28,29.98%
41,2013,7,23,30.60%
42,2013,4,23,29.28%
43,2013,1,23,32.78%
44,2012,10,25,35.30%
45,2012,7,24,35.91%
46,2012,4,24,37.68%
47,2012,1,24,36.63%
48,2011,10,18,33.83%
49,2011,7,19,34.04%
50,2011,4,20,31.80%
51,2011,1,18,30.44%
52,2010,10,18,29.32%
53,2010,7,20,28.39%
54,2010,4,20,27.48%
55,2010,1,25,26.16%
56,2009,10,19,26.03%
57,2009,7,21,30.71%
58,2009,4,22,29.83%
59,2009,1,21,29.40%
60,2008,10,21,27.44%
61,2008,7,21,24.17%
62,2008,4,23,24.66%
63,2008,1,22,24.54%
64,2007,10,22,24.05%
65,2007,7,25,23.63%
66,2007,4,25,22.83%
67,2007,1,17,21.69%
68,2006,10,18,19.92%
69,2006,7,19,20.12%
70,2006,4,19,19.87%
71,2006,1,18,19.09%
72,2005,10,11,17.91%
73,2005,7,13,14.75%
74,2005,4,13,11.70%
75,2005,1,12,8.77%
76,2004,10,13,5.44%
77,2004,7,14,4.84%
78,2004,4,14,5.23%
79,2004,1,14,5.82%
