,Year,Month,Day
0,2023,11,02
1,2023,8,03
2,2023,5,04
3,2023,2,02
4,2022,10,27
5,2022,7,28
6,2022,4,28
7,2022,1,27
8,2021,10,28
9,2021,7,27
10,2021,4,28
11,2021,1,27
12,2020,10,29
13,2020,7,30
14,2020,4,30
15,2020,1,28
16,2019,10,30
17,2019,7,30
18,2019,4,30
19,2019,1,29
20,2018,11,01
21,2018,7,31
22,2018,5,01
23,2018,2,01
24,2017,11,02
25,2017,8,01
26,2017,5,02
27,2017,1,31
28,2016,10,25
29,2016,7,26
30,2016,4,26
31,2016,1,26
32,2015,10,27
33,2015,7,21
34,2015,4,27
35,2015,1,27
36,2014,10,20
37,2014,7,22
38,2014,4,23
39,2014,1,27
40,2013,10,28
41,2013,7,23
42,2013,4,23
43,2013,1,23
44,2012,10,25
45,2012,7,24
46,2012,4,24
47,2012,1,24
48,2011,10,18
49,2011,7,19
50,2011,4,20
51,2011,1,18
52,2010,10,18
53,2010,7,20
54,2010,4,20
55,2010,1,25
56,2009,10,19
57,2009,7,21
58,2009,4,22
59,2009,1,21
60,2008,10,21
61,2008,7,21
62,2008,4,23
63,2008,1,22
64,2007,10,22
65,2007,7,25
66,2007,4,25
67,2007,1,17
68,2006,10,18
69,2006,7,19
70,2006,4,19
71,2006,1,18
72,2005,10,11
73,2005,7,13
74,2005,4,13
75,2005,1,12
76,2004,10,13
77,2004,7,14
78,2004,4,14
79,2004,1,14
80,2003,10,15
81,2003,7,16
82,2003,4,16
83,2003,1,15
84,2002,10,16
85,2002,7,16
86,2002,1,16
87,2001,4,18
88,2000,10,18
89,2000,7,18
90,2000,4,19
91,2000,1,19
92,1999,10,13
93,1999,7,14
94,1999,4,14
