,Year,Month,Day,EPS
0,2023,10,31,0.19
1,2023,8,1,0.02
2,2023,5,2,-$0.09
3,2023,1,31,0.01
4,2022,11,1,0.04
5,2022,8,2,0.28
6,2022,5,3,0.49
7,2022,2,1,0.81
8,2021,10,26,0.76
9,2021,7,27,0.59
10,2021,4,27,0.46
11,2021,1,26,1.47
12,2020,10,27,0.32
13,2020,7,28,0.13
14,2020,4,28,0.14
15,2020,1,28,0.15
16,2019,10,29,0.11
17,2019,7,30,0.03
18,2019,4,30,0.01
19,2019,1,29,0.04
20,2018,10,24,0.10
21,2018,7,25,0.12
22,2018,4,25,0.08
23,2018,1,30,-$0.02
24,2017,10,24,0.06
25,2017,7,25,-$0.04
26,2017,5,1,-$0.04
27,2017,1,31,-$0.05
28,2016,10,20,-$0.44
29,2016,7,21,0.09
30,2016,4,21,-$0.14
31,2016,1,19,-$0.13
32,2015,10,15,-$0.25
33,2015,7,16,-$0.23
34,2015,4,16,-$0.23
35,2015,1,20,-$0.47
36,2014,10,16,0.02
37,2014,7,17,-$0.05
38,2014,4,17,-$0.03
39,2014,1,21,0.12
40,2013,10,17,0.07
41,2013,7,18,-$0.10
42,2013,4,18,-$0.20
43,2013,1,22,-$0.66
44,2012,10,18,-$0.22
45,2012,7,19,0.05
46,2012,4,19,-$0.84
47,2012,1,24,-$0.25
48,2011,10,27,0.14
49,2011,7,21,0.09
50,2011,4,21,0.74
51,2011,1,20,0.55
52,2010,10,14,-$0.17
53,2010,7,15,-$0.06
54,2010,4,15,0.38
55,2010,1,21,1.76
56,2009,10,15,-$0.19
57,2009,7,21,-$0.49
58,2009,4,21,-$0.62
59,2009,1,22,-$2.36
60,2008,10,16,-$0.22
61,2008,7,17,-$1.97
62,2008,4,17,-$0.60
63,2008,1,17,-$2.92
64,2007,10,18,-$0.72
65,2007,7,19,-$1.08
66,2007,4,19,-$1.11
67,2007,1,23,-$1.05
68,2006,10,18,0.28
69,2006,7,20,0.18
70,2006,4,12,0.38
71,2006,1,18,0.22
72,2005,10,11,0.19
73,2005,7,13,0.03
74,2005,4,13,-$0.04
75,2005,1,18,-$0.08
76,2004,10,7,0.12
77,2004,7,14,0.09
78,2004,4,14,0.13
79,2004,1,20,0.12
