,Year,Month,Day,ROA
0,2023,10,31,0.31%
1,2023,8,1,-0.04%
2,2023,5,2,0.59%
3,2023,1,31,1.96%
4,2022,11,1,5.67%
5,2022,8,2,7.96%
6,2022,5,3,8.74%
7,2022,2,1,28.15%
8,2021,10,26,39.46%
9,2021,7,27,38.79%
10,2021,4,27,34.67%
11,2021,1,26,33.59%
12,2020,10,27,13.47%
13,2020,7,28,10.29%
14,2020,4,28,8.88%
15,2020,1,28,6.22%
16,2019,10,29,4.26%
17,2019,7,30,4.04%
18,2019,4,30,6.02%
19,2019,1,29,8.10%
20,2018,10,24,7.09%
21,2018,7,25,6.22%
22,2018,4,25,2.27%
23,2018,1,30,-0.96%
24,2017,10,24,-1.88%
25,2017,7,25,-15.23%
26,2017,5,1,-12.73%
27,2017,1,31,-15.77%
28,2016,10,20,-16.36%
29,2016,7,21,-10.36%
30,2016,4,21,-18.52%
31,2016,1,19,-20.27%
32,2015,10,15,-26.36%
33,2015,7,16,-18.37%
34,2015,4,16,-14.67%
35,2015,1,20,-10.23%
36,2014,10,16,1.15%
37,2014,7,17,1.89%
38,2014,4,17,1.07%
39,2014,1,21,-2.04%
40,2013,10,17,-15.51%
41,2013,7,18,-19.98%
42,2013,4,18,-16.72%
43,2013,1,22,-26.32%
44,2012,10,18,-18.54%
45,2012,7,19,-12.32%
46,2012,4,19,-11.93%
47,2012,1,24,9.66%
48,2011,10,27,20.45%
49,2011,7,21,16.87%
50,2011,4,21,14.25%
51,2011,1,20,9.24%
52,2010,10,14,18.64%
53,2010,7,15,18.45%
54,2010,4,15,14.04%
55,2010,1,21,3.35%
56,2009,10,15,-28.14%
57,2009,7,21,-25.56%
58,2009,4,21,-33.78%
59,2009,1,22,-33.15%
60,2008,10,16,-33.01%
61,2008,7,17,-32.81%
62,2008,4,17,-25.64%
63,2008,1,17,-27.85%
64,2007,10,18,-16.72%
65,2007,7,19,-15.28%
66,2007,4,19,-9.26%
67,2007,1,23,-1.57%
68,2006,10,18,6.43%
69,2006,7,20,5.49%
70,2006,4,12,4.64%
71,2006,1,18,2.19%
72,2005,10,11,0.50%
73,2005,7,13,0.10%
74,2005,4,13,0.39%
75,2005,1,18,1.23%
76,2004,10,7,2.29%
