,Year,Month,Day,ROE
0,2023,10,31,0.38%
1,2023,8,1,-0.04%
2,2023,5,2,0.72%
3,2023,1,31,2.41%
4,2022,11,1,4.17%
5,2022,8,2,5.67%
6,2022,5,3,6.13%
7,2022,2,1,42.18%
8,2021,10,26,55.62%
9,2021,7,27,48.63%
10,2021,4,27,44.51%
11,2021,1,26,42.66%
12,2020,10,27,22.73%
13,2020,7,28,18.43%
14,2020,4,28,16.04%
15,2020,1,28,12.06%
16,2019,10,29,9.61%
17,2019,7,30,10.05%
18,2019,4,30,15.21%
19,2019,1,29,26.62%
20,2018,10,24,24.89%
21,2018,7,25,27.19%
22,2018,4,25,11.33%
23,2018,1,30,-5.54%
24,2017,10,24,-12.50%
25,2017,7,25,-127.58%
26,2017,5,1,-102.93%
27,2017,1,31,-119.47%
28,2016,10,20,-142.34%
29,2016,7,21,-82.08%
30,2016,4,21,-117.10%
31,2016,1,19,-160.19%
32,2015,10,15,-274.40%
33,2015,7,16,-502.13%
34,2015,4,16,-3311.76%
35,2015,1,20,-215.51%
36,2014,10,16,9.35%
37,2014,7,17,16.17%
38,2014,4,17,8.42%
39,2014,1,21,-15.26%
40,2013,10,17,-148.62%
41,2013,7,18,-236.77%
42,2013,4,18,-178.07%
43,2013,1,22,-219.89%
44,2012,10,18,-89.69%
45,2012,7,19,-56.67%
46,2012,4,19,-57.89%
47,2012,1,24,30.88%
48,2011,10,27,59.81%
49,2011,7,21,50.46%
50,2011,4,21,46.47%
51,2011,1,20,46.50%
52,2010,10,14,207.49%
53,2010,7,15,168.09%
54,2010,4,15,122.74%
55,2010,1,21,46.91%
56,2009,10,15,-405.97%
57,2009,7,21,-498.06%
58,2009,4,21,-1951.53%
59,2009,1,22,-2463.78%
60,2008,10,16,-258.77%
61,2008,7,17,-252.85%
62,2008,4,17,-118.77%
63,2008,1,17,-113.01%
64,2007,10,18,-52.87%
65,2007,7,19,-36.90%
66,2007,4,19,-18.47%
67,2007,1,23,-2.87%
68,2006,10,18,10.04%
69,2006,7,20,9.17%
70,2006,4,12,7.80%
71,2006,1,18,4.94%
72,2005,10,11,1.34%
73,2005,7,13,0.27%
74,2005,4,13,0.97%
75,2005,1,18,3.03%
76,2004,10,7,6.39%
77,2004,7,14,6.50%
78,2004,4,14,7.13%
79,2004,1,20,7.09%
