,Year,Month,Day,EPS
0,2023,10,26,0.96
1,2023,8,3,0.65
2,2023,4,27,0.31
3,2023,2,2,0.03
4,2022,10,27,0.28
5,2022,7,28,-$0.20
6,2022,4,28,-$0.38
7,2022,2,3,1.41
8,2021,10,28,0.31
9,2021,7,29,0.77
10,2021,4,29,0.80
11,2021,2,2,0.72
12,2020,10,29,0.63
13,2020,7,30,0.52
14,2020,4,30,0.25
15,2020,1,30,0.33
16,2019,10,24,0.22
17,2019,7,25,0.27
18,2019,4,25,0.36
19,2019,1,31,0.31
20,2018,10,25,0.29
21,2018,7,26,0.26
22,2018,4,26,0.17
23,2018,2,1,0.19
24,2017,10,26,0.03
25,2017,7,27,0.02
26,2017,4,27,0.08
27,2017,2,2,0.08
28,2016,10,27,0.03
29,2016,7,28,0.09
30,2016,4,28,0.05
31,2016,1,28,0.05
32,2015,10,22,0.01
33,2015,7,23,0.01
34,2015,4,23,-$0.01
35,2015,1,29,0.02
36,2014,10,23,-$0.05
37,2014,7,24,-$0.01
38,2014,4,24,0.01
39,2014,1,30,0.03
40,2013,10,24,0.00
41,2013,7,25,0.00
42,2013,4,25,0.01
43,2013,1,29,0.01
44,2012,10,25,-$0.03
45,2012,7,26,0.00
46,2012,4,26,0.01
47,2012,1,31,0.02
48,2011,10,25,0.01
49,2011,7,26,0.02
50,2011,4,26,0.02
51,2011,1,27,0.05
52,2010,10,21,0.03
53,2010,7,22,0.02
54,2010,4,22,0.03
55,2010,1,28,0.04
56,2009,10,22,0.02
57,2009,7,23,0.02
58,2009,4,23,0.02
59,2009,1,29,0.03
60,2008,10,22,0.01
61,2008,7,23,0.02
62,2008,4,23,0.02
63,2008,1,30,0.02
64,2007,10,23,0.01
65,2007,7,24,0.01
66,2007,4,24,0.01
67,2007,2,1,0.01
68,2006,10,24,0.00
69,2006,7,25,0.00
70,2006,4,25,0.01
71,2006,2,2,0.02
72,2005,10,25,0.00
73,2005,7,26,0.01
74,2005,4,26,0.01
75,2005,2,2,0.04
76,2004,10,21,0.01
77,2004,7,22,0.01
78,2004,4,22,0.01
79,2004,1,27,0.01
