,Year,Month,Day,ROA
0,2023,10,26,4.23%
1,2023,8,3,2.89%
2,2023,4,27,0.97%
3,2023,2,2,-0.62%
4,2022,10,27,2.67%
5,2022,7,28,2.89%
6,2022,4,28,5.55%
7,2022,2,3,8.97%
8,2021,10,28,7.47%
9,2021,7,29,9.16%
10,2021,4,29,9.26%
11,2021,2,2,7.87%
12,2020,10,29,6.85%
13,2020,7,30,5.76%
14,2020,4,30,5.12%
15,2020,1,30,5.75%
16,2019,10,24,6.27%
17,2019,7,25,7.22%
18,2019,4,25,7.69%
19,2019,1,31,6.97%
20,2018,10,25,6.48%
21,2018,7,26,5.03%
22,2018,4,26,3.68%
23,2018,2,1,2.86%
24,2017,10,26,1.94%
25,2017,7,27,2.42%
26,2017,4,27,3.54%
27,2017,2,2,3.28%
28,2016,10,27,3.10%
29,2016,7,28,3.18%
30,2016,4,28,2.05%
31,2016,1,28,1.04%
32,2015,10,22,0.59%
33,2015,7,23,-0.40%
34,2015,4,23,-0.92%
35,2015,1,29,-0.53%
36,2014,10,23,-0.53%
37,2014,7,24,0.52%
38,2014,4,24,0.91%
39,2014,1,30,0.80%
40,2013,10,24,0.41%
41,2013,7,25,-0.39%
42,2013,4,25,-0.36%
43,2013,1,29,-0.15%
44,2012,10,25,0.17%
45,2012,7,26,1.88%
46,2012,4,26,2.93%
47,2012,1,31,3%
48,2011,10,25,4.60%
49,2011,7,26,6.47%
50,2011,4,26,7.21%
51,2011,1,27,7.48%
52,2010,10,21,8.01%
53,2010,7,22,10.19%
54,2010,4,22,10.39%
55,2010,1,28,8.68%
56,2009,10,22,8.61%
57,2009,7,23,9.31%
58,2009,4,23,10.21%
59,2009,1,29,9.09%
60,2008,10,22,9.59%
61,2008,7,23,10.75%
62,2008,4,23,10.30%
63,2008,1,30,9.38%
64,2007,10,23,8.17%
65,2007,7,24,8.44%
66,2007,4,24,7.33%
67,2007,2,1,5.17%
68,2006,10,24,8.36%
69,2006,7,25,10.07%
70,2006,4,25,11.88%
71,2006,2,2,11.64%
72,2005,10,25,16.68%
73,2005,7,26,22.55%
74,2005,4,26,25.46%
75,2005,2,2,23.58%
76,2004,10,21,14.70%
