,Year,Month,Day,ROE
0,2023,10,26,10.97%
1,2023,8,3,7.75%
2,2023,4,27,2.78%
3,2023,2,2,-1.86%
4,2022,10,27,8.24%
5,2022,7,28,8.83%
6,2022,4,28,15.98%
7,2022,2,3,24.13%
8,2021,10,28,21.78%
9,2021,7,29,25.64%
10,2021,4,29,26.04%
11,2021,2,2,22.84%
12,2020,10,29,20.99%
13,2020,7,30,17.88%
14,2020,4,30,16.18%
15,2020,1,30,18.67%
16,2019,10,24,20.08%
17,2019,7,25,22.80%
18,2019,4,25,24.80%
19,2019,1,31,23.13%
20,2018,10,25,22.76%
21,2018,7,26,17.93%
22,2018,4,26,12.52%
23,2018,2,1,10.95%
24,2017,10,26,7.81%
25,2017,7,27,8.28%
26,2017,4,27,11.91%
27,2017,2,2,12.30%
28,2016,10,27,11.83%
29,2016,7,28,11.68%
30,2016,4,28,7.90%
31,2016,1,28,4.45%
32,2015,10,22,2.64%
33,2015,7,23,-1.60%
34,2015,4,23,-3.73%
35,2015,1,29,-2.24%
36,2014,10,23,-2.08%
37,2014,7,24,1.71%
38,2014,4,24,2.91%
39,2014,1,30,2.81%
40,2013,10,24,1.44%
41,2013,7,25,-1.17%
42,2013,4,25,-1.04%
43,2013,1,29,-0.49%
44,2012,10,25,0.53%
45,2012,7,26,5.02%
46,2012,4,26,7.72%
47,2012,1,31,8.15%
48,2011,10,25,11.22%
49,2011,7,26,13.38%
50,2011,4,26,14.36%
51,2011,1,27,16.80%
52,2010,10,21,17.52%
53,2010,7,22,18.59%
54,2010,4,22,18.23%
55,2010,1,28,17.16%
56,2009,10,22,20.75%
57,2009,7,23,20.36%
58,2009,4,23,23.27%
59,2009,1,29,24.14%
60,2008,10,22,24.77%
61,2008,7,23,26.37%
62,2008,4,23,34.56%
63,2008,1,30,39.77%
64,2007,10,23,48.23%
65,2007,7,24,55.64%
66,2007,4,24,70.82%
67,2007,2,1,44.08%
68,2006,10,24,148.47%
69,2006,7,25,78.85%
70,2006,4,25,102.47%
71,2006,2,2,145.94%
72,2005,10,25,"8,450%"
73,2005,7,26,829.69%
74,2005,4,26,342.59%
75,2005,2,2,259.03%
76,2004,10,21,43.55%
77,2004,7,22,42.10%
78,2004,4,22,36.46%
79,2004,1,27,28.19%
