,Year,Month,Day
0,2023,10,26
1,2023,8,03
2,2023,4,27
3,2023,2,02
4,2022,10,27
5,2022,7,28
6,2022,4,28
7,2022,2,03
8,2021,10,28
9,2021,7,29
10,2021,4,29
11,2021,2,02
12,2020,10,29
13,2020,7,30
14,2020,4,30
15,2020,1,30
16,2019,10,24
17,2019,7,25
18,2019,4,25
19,2019,1,31
20,2018,10,25
21,2018,7,26
22,2018,4,26
23,2018,2,01
24,2017,10,26
25,2017,7,27
26,2017,4,27
27,2017,2,02
28,2016,10,27
29,2016,7,28
30,2016,4,28
31,2016,1,28
32,2015,10,22
33,2015,7,23
34,2015,4,23
35,2015,1,29
36,2014,10,23
37,2014,7,24
38,2014,4,24
39,2014,1,30
40,2013,10,24
41,2013,7,25
42,2013,4,25
43,2013,1,29
44,2012,10,25
45,2012,7,26
46,2012,4,26
47,2012,1,31
48,2011,10,25
49,2011,7,26
50,2011,4,26
51,2011,1,27
52,2010,10,21
53,2010,7,22
54,2010,4,22
55,2010,1,28
56,2009,10,22
57,2009,7,23
58,2009,4,23
59,2009,1,29
60,2008,10,22
61,2008,7,23
62,2008,4,23
63,2008,1,30
64,2007,10,23
65,2007,7,24
66,2007,4,24
67,2007,2,01
68,2006,10,24
69,2006,7,25
70,2006,4,25
71,2006,2,02
72,2005,10,25
73,2005,7,26
74,2005,4,26
75,2005,2,02
76,2004,10,21
77,2004,7,22
78,2004,4,22
79,2004,1,27
80,2003,10,21
81,2003,7,22
82,2003,4,24
83,2003,1,23
84,2002,10,24
85,2002,7,23
86,2002,4,23
87,2002,1,22
88,2001,10,23
89,2001,7,23
90,2001,4,24
91,2001,1,30
92,2000,10,24
93,2000,7,26
94,2000,4,26
95,2000,2,02
