,Year,Month,CPI
0,2023,10,3.2
1,2023,9,3.7
2,2023,8,3.7
3,2023,7,3.2
4,2023,6,3.0
5,2023,5,4.0
6,2023,4,4.9
7,2023,3,5.0
8,2023,2,6.0
9,2023,1,6.4
10,2022,12,6.5
11,2022,11,7.1
12,2022,10,7.7
13,2022,9,8.2
14,2022,8,8.3
15,2022,7,8.5
16,2022,6,9.1
17,2022,5,8.6
18,2022,4,8.3
19,2022,3,8.5
20,2022,2,7.9
21,2022,1,7.5
22,2021,12,7.0
23,2021,11,6.8
24,2021,10,6.2
25,2021,9,5.4
26,2021,8,5.3
27,2021,7,5.4
28,2021,6,5.4
29,2021,5,5.0
30,2021,4,4.2
31,2021,3,2.6
32,2021,2,1.7
33,2021,1,1.4
34,2020,12,1.4
35,2020,11,1.2
36,2020,10,1.2
37,2020,9,1.4
38,2020,8,1.3
39,2020,7,1.0
40,2020,6,0.6
41,2020,5,0.1
42,2020,4,0.3
43,2020,3,1.5
44,2020,2,2.3
45,2020,1,2.5
46,2019,12,2.3
47,2019,11,2.1
48,2019,10,1.8
49,2019,9,1.7
50,2019,8,1.7
51,2019,7,1.8
52,2019,6,1.6
53,2019,5,1.8
54,2019,4,2.0
55,2019,3,1.9
56,2019,2,1.5
57,2019,1,1.6
58,2018,12,1.9
59,2018,11,2.2
60,2018,10,2.5
61,2018,9,2.3
62,2018,8,2.7
63,2018,7,2.9
64,2018,6,2.9
65,2018,5,2.8
66,2018,4,2.5
67,2018,3,2.4
68,2018,2,2.2
69,2018,1,2.1
70,2017,12,2.1
71,2017,11,2.2
72,2017,10,2.0
73,2017,9,2.2
74,2017,8,1.9
75,2017,7,1.7
76,2017,6,1.6
77,2017,5,1.9
78,2017,4,2.2
79,2017,3,2.4
80,2017,2,2.7
81,2017,1,2.5
82,2016,12,2.1
83,2016,11,1.7
84,2016,10,1.6
85,2016,9,1.5
86,2016,8,1.1
87,2016,7,0.8
88,2016,6,1.0
89,2016,5,1.0
90,2016,4,1.1
91,2016,3,0.9
92,2016,2,1.0
93,2016,1,1.4
94,2015,12,0.7
95,2015,11,0.5
96,2015,10,0.2
97,2015,9,-0.0
98,2015,8,0.2
99,2015,7,0.2
100,2015,6,0.1
101,2015,5,-0.0
102,2015,4,-0.2
103,2015,3,-0.1
104,2015,2,-0.0
105,2015,1,-0.1
106,2014,12,0.8
107,2014,11,1.3
108,2014,10,1.7
109,2014,9,1.7
110,2014,8,1.7
111,2014,7,2.0
112,2014,6,2.1
113,2014,5,2.1
114,2014,4,2.0
115,2014,3,1.5
