,Year,Month,Day,EPS
0,2023,10,24,3.00
1,2023,7,25,2.70
2,2023,4,25,2.46
3,2023,1,24,2.21
4,2022,10,25,2.35
5,2022,7,26,2.24
6,2022,4,26,2.24
7,2022,1,25,2.50
8,2021,10,26,2.73
9,2021,7,27,2.19
10,2021,4,27,2.05
11,2021,1,26,2.05
12,2020,10,27,1.84
13,2020,7,22,1.48
14,2020,4,29,1.42
15,2020,1,29,1.53
16,2019,10,23,1.40
17,2019,7,18,1.73
18,2019,4,24,1.15
19,2019,1,30,1.10
20,2018,10,24,1.15
21,2018,7,19,1.16
22,2018,4,26,0.97
23,2018,1,31,-$0.82
24,2017,10,26,0.85
25,2017,7,20,1.05
26,2017,4,27,0.71
27,2017,1,26,0.81
28,2016,10,20,0.73
29,2016,7,19,0.88
30,2016,4,21,0.48
31,2016,1,28,0.63
32,2015,10,22,0.61
33,2015,7,21,-$0.40
34,2015,4,23,0.61
35,2015,1,26,0.71
36,2014,10,23,0.55
37,2014,7,22,0.56
38,2014,4,24,0.69
39,2014,1,23,0.79
40,2013,10,24,0.63
41,2013,7,18,0.60
42,2013,4,18,0.73
43,2013,1,24,0.76
44,2012,10,18,0.53
45,2012,7,19,-$0.06
46,2012,4,19,0.61
47,2012,1,19,0.79
48,2011,10,20,0.68
49,2011,7,21,0.70
50,2011,4,28,0.62
51,2011,1,27,0.79
52,2010,10,28,0.63
53,2010,7,22,0.52
54,2010,4,22,0.46
55,2010,1,28,0.76
56,2009,10,23,0.40
57,2009,7,23,0.34
58,2009,4,23,0.33
59,2009,1,22,0.47
60,2008,10,23,0.49
61,2008,7,17,0.47
62,2008,4,24,0.47
63,2008,1,24,0.50
64,2007,10,25,0.46
65,2007,7,19,0.32
66,2007,4,26,0.51
67,2007,1,25,0.27
68,2006,10,26,0.35
69,2006,7,20,0.28
70,2006,4,27,0.29
71,2006,1,26,0.35
72,2005,10,27,0.30
73,2005,7,21,0.35
74,2005,4,28,0.24
75,2005,1,27,0.32
76,2004,10,21,0.23
77,2004,7,22,0.25
78,2004,4,22,0.12
79,2004,1,22,0.14
