,Year,Month,Day,ROA
0,2023,10,24,19.03%
1,2023,7,25,18.75%
2,2023,4,25,18.53%
3,2023,1,24,19.02%
4,2022,10,25,19.94%
5,2022,7,26,20.78%
6,2022,4,26,21.36%
7,2022,1,25,21.93%
8,2021,10,26,21.23%
9,2021,7,27,19.31%
10,2021,4,27,18.36%
11,2021,1,26,17.41%
12,2020,10,27,16.27%
13,2020,7,22,15.26%
14,2020,4,29,16.18%
15,2020,1,29,16.23%
16,2019,10,23,15.28%
17,2019,7,18,14.42%
18,2019,4,24,13.38%
19,2019,1,30,13.30%
20,2018,10,24,7.33%
21,2018,7,19,6.53%
22,2018,4,26,6.36%
23,2018,1,31,5.75%
24,2017,10,26,11.15%
25,2017,7,20,11.01%
26,2017,4,27,11.61%
27,2017,1,26,11.10%
28,2016,10,20,10.85%
29,2016,7,19,11.21%
30,2016,4,21,5.88%
31,2016,1,28,6.56%
32,2015,10,22,7.22%
33,2015,7,21,7.09%
34,2015,4,23,11.46%
35,2015,1,26,12.49%
36,2014,10,23,13.22%
37,2014,7,22,14.03%
38,2014,4,24,15.02%
39,2014,1,23,15.87%
40,2013,10,24,16.71%
41,2013,7,18,16.54%
42,2013,4,18,12.85%
43,2013,1,24,12.53%
44,2012,10,18,13.42%
45,2012,7,19,14.85%
46,2012,4,19,20.59%
47,2012,1,19,22.14%
48,2011,10,20,23.51%
49,2011,7,21,23.12%
50,2011,4,28,23.46%
51,2011,1,27,23.21%
52,2010,10,28,23.72%
53,2010,7,22,22.37%
54,2010,4,22,21.24%
55,2010,1,28,21.54%
56,2009,10,23,18.68%
57,2009,7,23,20.38%
58,2009,4,23,22.34%
59,2009,1,22,25.24%
60,2008,10,23,26.82%
61,2008,7,17,25.54%
62,2008,4,24,24.52%
63,2008,1,24,25.84%
64,2007,10,25,22.54%
65,2007,7,19,21.89%
66,2007,4,26,20.76%
67,2007,1,25,17.88%
68,2006,10,26,19.51%
69,2006,7,20,17.86%
70,2006,4,27,19.57%
71,2006,1,26,19.56%
72,2005,10,27,18.87%
73,2005,7,21,14.85%
74,2005,4,28,14%
75,2005,1,27,12.92%
76,2004,10,21,8.97%
