,Year,Month,Day,ROE
0,2023,10,24,34.93%
1,2023,7,25,35.09%
2,2023,4,25,35.45%
3,2023,1,24,36.83%
4,2022,10,25,40.21%
5,2022,7,26,43.68%
6,2022,4,26,44.47%
7,2022,1,25,44.49%
8,2021,10,26,44.67%
9,2021,7,27,43.15%
10,2021,4,27,41.65%
11,2021,1,26,39.40%
12,2020,10,27,38.49%
13,2020,7,22,37.43%
14,2020,4,29,40.41%
15,2020,1,29,40.25%
16,2019,10,23,38.75%
17,2019,7,18,38.35%
18,2019,4,24,36.82%
19,2019,1,30,36.41%
20,2018,10,24,21.89%
21,2018,7,19,20.03%
22,2018,4,26,19.90%
23,2018,1,31,17.65%
24,2017,10,26,29.45%
25,2017,7,20,29.06%
26,2017,4,27,34.83%
27,2017,1,26,32.78%
28,2016,10,20,30.27%
29,2016,7,19,28.53%
30,2016,4,21,14.01%
31,2016,1,28,15.25%
32,2015,10,22,16.21%
33,2015,7,21,15.23%
34,2015,4,23,22.19%
35,2015,1,26,22.50%
36,2014,10,23,23.70%
37,2014,7,22,24.59%
38,2014,4,24,25.65%
39,2014,1,23,26.82%
40,2013,10,24,27.73%
41,2013,7,18,27.69%
42,2013,4,18,21.39%
43,2013,1,24,21.30%
44,2012,10,18,22.82%
45,2012,7,19,25.58%
46,2012,4,19,34%
47,2012,1,19,36.60%
48,2011,10,20,39.53%
49,2011,7,21,40.56%
50,2011,4,28,40.77%
51,2011,1,27,42.43%
52,2010,10,28,43.88%
53,2010,7,22,40.63%
54,2010,4,22,37.82%
55,2010,1,28,36.71%
56,2009,10,23,33.41%
57,2009,7,23,36.83%
58,2009,4,23,42.83%
59,2009,1,22,49.98%
60,2008,10,23,52.88%
61,2008,7,17,48.73%
62,2008,4,24,43.72%
63,2008,1,24,49.25%
64,2007,10,25,46.29%
65,2007,7,19,45.23%
66,2007,4,26,39.63%
67,2007,1,25,32.51%
68,2006,10,26,35.83%
69,2006,7,20,31.42%
70,2006,4,27,32.05%
71,2006,1,26,29.54%
72,2005,10,27,26.63%
73,2005,7,21,25.47%
74,2005,4,28,23.74%
75,2005,1,27,21.16%
76,2004,10,21,10.64%
77,2004,7,22,9.49%
78,2004,4,22,8.45%
79,2004,1,22,8.94%
