,Year,Month,Day
0,2023,10,24
1,2023,7,25
2,2023,4,25
3,2023,1,24
4,2022,10,25
5,2022,7,26
6,2022,4,26
7,2022,1,25
8,2021,10,26
9,2021,7,27
10,2021,4,27
11,2021,1,26
12,2020,10,27
13,2020,7,22
14,2020,4,29
15,2020,1,29
16,2019,10,23
17,2019,7,18
18,2019,4,24
19,2019,1,30
20,2018,10,24
21,2018,7,19
22,2018,4,26
23,2018,1,31
24,2017,10,26
25,2017,7,20
26,2017,4,27
27,2017,1,26
28,2016,10,20
29,2016,7,19
30,2016,4,21
31,2016,1,28
32,2015,10,22
33,2015,7,21
34,2015,4,23
35,2015,1,26
36,2014,10,23
37,2014,7,22
38,2014,4,24
39,2014,1,23
40,2013,10,24
41,2013,7,18
42,2013,4,18
43,2013,1,24
44,2012,10,18
45,2012,7,19
46,2012,4,19
47,2012,1,19
48,2011,10,20
49,2011,7,21
50,2011,4,28
51,2011,1,27
52,2010,10,28
53,2010,7,22
54,2010,4,22
55,2010,1,28
56,2009,10,23
57,2009,7,23
58,2009,4,23
59,2009,1,22
60,2008,10,23
61,2008,7,17
62,2008,4,24
63,2008,1,24
64,2007,10,25
65,2007,7,19
66,2007,4,26
67,2007,1,25
68,2006,10,26
69,2006,7,20
70,2006,4,27
71,2006,1,26
72,2005,10,27
73,2005,7,21
74,2005,4,28
75,2005,1,27
76,2004,10,21
77,2004,7,22
78,2004,4,22
79,2004,1,22
80,2003,10,23
81,2003,7,17
82,2003,4,15
83,2003,1,16
84,2002,10,17
85,2002,7,18
86,2002,4,18
87,2002,1,17
88,2001,10,18
89,2001,7,19
90,2001,4,19
91,2001,1,18
92,2000,10,18
93,2000,7,18
94,2000,4,20
