,Year,Month,Day,EPS
0,2023,11,21,3.75
1,2023,8,23,2.51
2,2023,5,24,0.83
3,2023,2,22,0.57
4,2022,11,16,0.28
5,2022,8,24,0.26
6,2022,5,25,0.65
7,2022,2,16,1.20
8,2021,11,17,0.98
9,2021,8,18,0.95
10,2021,5,26,0.77
11,2021,2,24,0.59
12,2020,11,18,0.54
13,2020,8,19,0.25
14,2020,5,21,0.37
15,2020,2,13,0.39
16,2019,11,14,0.37
17,2019,8,15,0.23
18,2019,5,16,0.16
19,2019,2,14,0.23
20,2018,11,15,0.50
21,2018,8,16,0.45
22,2018,5,10,0.51
23,2018,2,8,0.46
24,2017,11,9,0.35
25,2017,8,10,0.24
26,2017,5,9,0.21
27,2017,2,9,0.28
28,2016,11,10,0.25
29,2016,8,11,0.12
30,2016,5,12,0.10
31,2016,2,17,0.10
32,2015,11,5,0.11
33,2015,8,6,0.01
34,2015,5,7,0.06
35,2015,2,11,0.09
36,2014,11,6,0.08
37,2014,8,7,0.06
38,2014,5,6,0.06
39,2014,2,12,0.06
40,2013,11,7,0.05
41,2013,8,8,0.04
42,2013,5,9,0.03
43,2013,2,13,0.07
44,2012,11,8,0.08
45,2012,8,9,0.05
46,2012,5,11,0.02
47,2012,2,15,0.05
48,2011,11,10,0.07
49,2011,8,11,0.06
50,2011,5,12,0.06
51,2011,2,16,0.07
52,2010,11,11,0.04
53,2010,8,12,-$0.06
54,2010,5,13,0.06
55,2010,2,17,0.06
56,2009,11,5,0.05
57,2009,8,6,-$0.05
58,2009,5,7,-$0.09
59,2009,2,10,-$0.07
60,2008,11,6,0.03
61,2008,8,12,-$0.05
62,2008,5,8,0.08
63,2008,2,13,0.12
64,2007,11,8,0.11
65,2007,8,9,0.08
66,2007,5,10,0.06
67,2007,2,13,0.08
68,2006,11,9,0.05
69,2006,5,11,0.04
70,2006,2,16,0.04
71,2005,11,9,0.05
72,2005,8,11,0.03
73,2005,5,12,0.04
74,2005,2,17,0.03
75,2004,11,4,0.02
76,2004,8,5,0.01
77,2004,5,6,0.00
78,2004,2,12,0.01
79,2003,11,6,0.01
