,Year,Month,Day,ROA
0,2023,11,21,39.63%
1,2023,8,23,22.93%
2,2023,5,24,10.90%
3,2023,2,22,10.11%
4,2022,11,16,14.07%
5,2022,8,24,18.41%
6,2022,5,25,22.56%
7,2022,2,16,26.01%
8,2021,11,17,23.64%
9,2021,8,18,21.61%
10,2021,5,26,19.03%
11,2021,2,24,16.65%
12,2020,11,18,17.31%
13,2020,8,19,16.54%
14,2020,5,21,17.46%
15,2020,2,13,17.85%
16,2019,11,14,16.57%
17,2019,8,15,19.29%
18,2019,5,16,24.47%
19,2019,2,14,33.46%
20,2018,11,15,37.71%
21,2018,8,16,37.88%
22,2018,5,10,36.28%
23,2018,2,8,29.51%
24,2017,11,9,26.25%
25,2017,8,10,24.05%
26,2017,5,9,23.28%
27,2017,2,9,19.65%
28,2016,11,10,14.36%
29,2016,8,11,12.61%
30,2016,5,12,9.77%
31,2016,2,17,8.38%
32,2015,11,5,8.33%
33,2015,8,6,7.59%
34,2015,5,7,8.83%
35,2015,2,11,8.97%
36,2014,11,6,8.28%
37,2014,8,7,8.40%
38,2014,5,6,8.03%
39,2014,2,12,6.50%
40,2013,11,7,7.70%
41,2013,8,8,9.57%
42,2013,5,9,9.53%
43,2013,2,13,9.27%
44,2012,11,8,8.67%
45,2012,8,9,8.62%
46,2012,5,11,9.57%
47,2012,2,15,11.29%
48,2011,11,10,13.29%
49,2011,8,11,12.39%
50,2011,5,12,5.93%
51,2011,2,16,6.12%
52,2010,11,11,5.68%
53,2010,8,12,6.56%
54,2010,5,13,7.66%
55,2010,2,17,-1.98%
56,2009,11,5,-10.15%
57,2009,8,6,-11.28%
58,2009,5,7,-11.43%
59,2009,2,10,-0.84%
60,2008,11,6,10.14%
61,2008,8,12,14.77%
62,2008,5,8,24.64%
63,2008,2,13,24.37%
64,2007,11,8,22.93%
65,2007,8,9,20.69%
66,2007,5,10,19.66%
67,2007,2,13,18.46%
68,2006,11,9,17.08%
69,2006,5,11,17.04%
70,2006,2,16,16.65%
71,2005,11,9,16.77%
72,2005,8,11,14.52%
73,2005,5,12,13.10%
74,2005,2,17,9.31%
75,2004,11,4,6.41%
76,2004,8,5,5.17%
