,Year,Month,Day,ROE
0,2023,11,21,56.78%
1,2023,8,23,37.54%
2,2023,5,24,19.55%
3,2023,2,22,19.76%
4,2022,11,16,27.90%
5,2022,8,24,32.46%
6,2022,5,25,35.94%
7,2022,2,16,36.65%
8,2021,11,17,34.49%
9,2021,8,18,33.48%
10,2021,5,26,28.37%
11,2021,2,24,25.64%
12,2020,11,18,24.95%
13,2020,8,19,24.36%
14,2020,5,21,25.34%
15,2020,2,13,22.91%
16,2019,11,14,21.50%
17,2019,8,15,26.53%
18,2019,5,16,33.91%
19,2019,2,14,44.33%
20,2018,11,15,49.54%
21,2018,8,16,48.91%
22,2018,5,10,49.04%
23,2018,2,8,40.78%
24,2017,11,9,40.65%
25,2017,8,10,38.27%
26,2017,5,9,32.03%
27,2017,2,9,28.90%
28,2016,11,10,22.90%
29,2016,8,11,20.60%
30,2016,5,12,16.40%
31,2016,2,17,13.74%
32,2015,11,5,13.42%
33,2015,8,6,12.57%
34,2015,5,7,13.78%
35,2015,2,11,14.28%
36,2014,11,6,13.91%
37,2014,8,7,12.33%
38,2014,5,6,11.98%
39,2014,2,12,9.87%
40,2013,11,7,10.81%
41,2013,8,8,13.35%
42,2013,5,9,12.02%
43,2013,2,13,11.64%
44,2012,11,8,10.67%
45,2012,8,9,10.62%
46,2012,5,11,11.80%
47,2012,2,15,14.01%
48,2011,11,10,16.03%
49,2011,8,11,14.75%
50,2011,5,12,7.28%
51,2011,2,16,7.99%
52,2010,11,11,7.35%
53,2010,8,12,8.55%
54,2010,5,13,9.51%
55,2010,2,17,-2.51%
56,2009,11,5,-14.27%
57,2009,8,6,-17.44%
58,2009,5,7,-17.59%
59,2009,2,10,-1.25%
60,2008,11,6,15.08%
61,2008,8,12,20.62%
62,2008,5,8,30.80%
63,2008,2,13,30.48%
64,2007,11,8,28.45%
65,2007,8,9,25.49%
66,2007,5,10,23.38%
67,2007,2,13,22.42%
68,2006,11,9,20.75%
69,2006,5,11,20.54%
70,2006,2,16,19.83%
71,2005,11,9,20.12%
72,2005,8,11,18.67%
73,2005,5,12,16.78%
74,2005,2,17,11.79%
75,2004,11,4,8.18%
76,2004,8,5,6.85%
77,2004,5,6,6.76%
78,2004,2,12,8.56%
79,2003,11,6,9.13%
