,Year,Month,Day
0,2023,11,21
1,2023,8,23
2,2023,5,24
3,2023,2,22
4,2022,11,16
5,2022,8,24
6,2022,5,25
7,2022,2,16
8,2021,11,17
9,2021,8,18
10,2021,5,26
11,2021,2,24
12,2020,11,18
13,2020,8,19
14,2020,5,21
15,2020,2,13
16,2019,11,14
17,2019,8,15
18,2019,5,16
19,2019,2,14
20,2018,11,15
21,2018,8,16
22,2018,5,10
23,2018,2,08
24,2017,11,09
25,2017,8,10
26,2017,5,09
27,2017,2,09
28,2016,11,10
29,2016,8,11
30,2016,5,12
31,2016,2,17
32,2015,11,05
33,2015,8,06
34,2015,5,07
35,2015,2,11
36,2014,11,06
37,2014,8,07
38,2014,5,06
39,2014,2,12
40,2013,11,07
41,2013,8,08
42,2013,5,09
43,2013,2,13
44,2012,11,08
45,2012,8,09
46,2012,5,11
47,2012,2,15
48,2011,11,10
49,2011,8,11
50,2011,5,12
51,2011,2,16
52,2010,11,11
53,2010,8,12
54,2010,5,13
55,2010,2,17
56,2009,11,05
57,2009,8,06
58,2009,5,07
59,2009,2,10
60,2008,11,06
61,2008,8,12
62,2008,5,08
63,2008,2,13
64,2007,11,08
65,2007,8,09
66,2007,5,10
67,2007,2,13
68,2006,11,09
69,2006,5,11
70,2006,2,16
71,2005,11,09
72,2005,8,11
73,2005,5,12
74,2005,2,17
75,2004,11,04
76,2004,8,05
77,2004,5,06
78,2004,2,12
79,2003,11,06
80,2003,8,07
81,2003,5,08
82,2003,2,13
83,2002,11,07
84,2002,8,15
85,2002,5,22
86,2002,2,14
87,2001,11,08
88,2001,8,14
89,2001,5,22
90,2001,2,15
91,2000,11,09
92,2000,8,21
93,2000,5,16
94,2000,2,15
