,Year,Month,Day,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,AAPL_ROE,AAPL_ROA,AAPL_EPS,GOOG_Open,GOOG_High,GOOG_Low,GOOG_Close,GOOG_Volume,GOOG_ROE,GOOG_ROA,GOOG_EPS,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,NVDA_ROE,NVDA_ROA,NVDA_EPS,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Volume,AMZN_ROE,AMZN_ROA,AMZN_EPS,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,MSFT_ROE,MSFT_ROA,MSFT_EPS,2 Yr,20 Yr,CPI,M1,M2
0,2005,1,3,1.16,1.16,1.12,1.13,691992000,8.77,6.31,0.01,4.92,5.07,4.87,5.05,636143518,13.62,18.17,0.02,2.03,2.06,1.96,1.97,106671600,6.90,5.21,0.01,2.25,2.27,2.21,2.23,208930000,259.03,23.58,0.04,26.8,26.95,26.65,26.74,65002900,21.16,12.92,0.32,3.08,4.85,3.5,1371.0,6405.1
1,2005,1,4,1.14,1.17,1.12,1.14,1096810400,8.77,6.31,0.01,5.02,5.05,4.82,4.84,552298420,13.62,18.17,0.02,1.98,1.98,1.84,1.87,79022400,6.90,5.21,0.01,2.13,2.16,2.08,2.11,388370000,259.03,23.58,0.04,26.87,27.1,26.66,26.84,109442100,21.16,12.92,0.32,3.1,4.84,3.5,1371.0,6405.1
2,2005,1,5,1.15,1.17,1.14,1.15,680433600,8.77,6.31,0.01,4.82,4.9,4.79,4.82,330698912,13.62,18.17,0.02,1.85,1.91,1.84,1.89,72481200,6.90,5.21,0.01,2.08,2.14,2.08,2.09,167084000,259.03,23.58,0.04,26.84,27.1,26.76,26.78,72463500,21.16,12.92,0.32,3.2,4.91,3.5,1371.0,6405.1
3,2005,1,6,1.15,1.16,1.13,1.15,705555200,8.77,6.31,0.01,4.86,4.88,4.68,4.7,417041336,13.62,18.17,0.02,1.92,1.95,1.86,1.87,56356800,6.90,5.21,0.01,2.09,2.11,2.05,2.05,174018000,259.03,23.58,0.04,26.85,27.06,26.64,26.75,76890500,21.16,12.92,0.32,3.22,4.88,3.5,1371.0,6405.1
4,2005,1,7,1.16,1.24,1.16,1.24,2227450400,8.77,6.31,0.01,4.75,4.84,4.7,4.83,387964757,13.62,18.17,0.02,1.88,1.89,1.81,1.84,76309200,6.90,5.21,0.01,2.07,2.13,2.06,2.12,196732000,259.03,23.58,0.04,26.82,26.89,26.62,26.67,68723300,21.16,12.92,0.32,3.18,4.88,3.5,1371.0,6405.1
5,2005,1,10,1.25,1.26,1.21,1.23,1725309600,8.77,6.31,0.01,4.84,4.93,4.78,4.86,302714411,13.62,18.17,0.02,1.84,1.86,1.83,1.84,57955200,6.90,5.21,0.01,2.1,2.15,2.09,2.09,146958000,259.03,23.58,0.04,26.6,26.86,26.54,26.8,70376600,21.16,12.92,0.32,3.2,4.88,3.5,1371.0,6405.1
6,2005,1,11,1.22,1.23,1.15,1.15,2611627200,8.77,6.31,0.01,4.87,4.92,4.81,4.82,279391317,13.62,18.17,0.02,1.82,1.83,1.76,1.78,109338000,6.90,5.21,0.01,2.07,2.11,2.05,2.08,158406000,259.03,23.58,0.04,26.69,26.82,26.61,26.73,64712000,21.16,12.92,0.32,3.23,4.86,3.5,1371.0,6405.1
7,2005,1,12,1.17,1.18,1.13,1.17,1919702400,8.77,6.31,0.01,4.84,4.88,4.74,4.87,328338096,13.62,18.17,0.02,1.8,1.81,1.73,1.77,105780000,6.90,5.21,0.01,2.07,2.12,2.04,2.12,161446000,259.03,23.58,0.04,26.77,26.85,26.62,26.78,72940600,21.16,12.92,0.32,3.24,4.83,3.5,1371.0,6405.1
8,2005,1,13,1.32,1.33,1.25,1.25,3164716800,8.77,6.31,0.01,4.87,4.92,4.83,4.87,275002929,13.62,18.17,0.02,1.77,1.83,1.73,1.79,89876400,6.90,5.21,0.01,2.12,2.23,2.12,2.13,347872000,259.03,23.58,0.04,26.68,26.8,26.16,26.27,89861600,21.16,12.92,0.32,3.22,4.81,3.5,1371.0,6405.1
9,2005,1,14,1.25,1.28,1.24,1.25,1770742400,8.77,6.31,0.01,4.88,4.98,4.84,4.98,387057368,13.62,18.17,0.02,1.82,1.82,1.77,1.79,57391200,6.90,5.21,0.01,2.14,2.23,2.12,2.23,250660000,259.03,23.58,0.04,26.4,26.45,26.04,26.12,92180800,21.16,12.92,0.32,3.21,4.75,3.5,1371.0,6405.1
10,2005,1,18,1.25,1.26,1.21,1.26,1006460000,8.77,6.31,0.01,5.01,5.11,4.95,5.08,528878966,13.62,18.17,0.02,1.77,1.83,1.77,1.82,46455600,6.90,5.21,0.01,2.21,2.25,2.21,2.23,142632000,259.03,23.58,0.04,26.03,26.35,25.84,26.32,69146400,21.16,12.92,0.32,3.24,4.76,3.5,1371.0,6405.1
11,2005,1,19,1.26,1.28,1.25,1.25,751895200,8.77,6.31,0.01,5.1,5.11,4.9,4.91,451995865,13.62,18.17,0.02,1.83,1.83,1.77,1.78,33649200,6.90,5.21,0.01,2.22,2.24,2.17,2.2,147934000,259.03,23.58,0.04,26.21,26.26,25.92,25.98,58114100,21.16,12.92,0.32,3.26,4.73,3.5,1371.0,6405.1
12,2005,1,20,1.24,1.27,1.24,1.26,914922400,8.77,6.31,0.01,4.79,4.89,4.78,4.83,361413608,13.62,18.17,0.02,1.74,1.83,1.74,1.78,64008000,6.90,5.21,0.01,2.09,2.2,2.08,2.12,256612000,259.03,23.58,0.04,25.84,26.1,25.74,25.86,58380100,21.16,12.92,0.32,3.26,4.71,3.5,1371.0,6405.1
13,2005,1,21,1.27,1.28,1.25,1.26,911332800,8.77,6.31,0.01,4.85,4.87,4.69,4.69,371724110,13.62,18.17,0.02,1.79,1.82,1.78,1.79,59635200,6.90,5.21,0.01,2.1,2.13,2.05,2.06,212054000,259.03,23.58,0.04,25.95,26.13,25.64,25.65,76501000,21.16,12.92,0.32,3.21,4.7,3.5,1371.0,6405.1
14,2005,1,24,1.27,1.28,1.26,1.26,841629600,8.77,6.31,0.01,4.7,4.72,4.49,4.5,563010421,13.62,18.17,0.02,1.78,1.8,1.71,1.72,46370400,6.90,5.21,0.01,2.07,2.1,2.02,2.02,193918000,259.03,23.58,0.04,25.76,26.0,25.64,25.67,69010900,21.16,12.92,0.32,3.16,4.69,3.5,1371.0,6405.1
15,2005,1,25,1.27,1.3,1.27,1.29,969231200,8.77,6.31,0.01,4.53,4.54,4.39,4.41,427966132,13.62,18.17,0.02,1.72,1.77,1.71,1.75,43970400,6.90,5.21,0.01,2.03,2.07,2.02,2.05,180558000,259.03,23.58,0.04,25.76,26.19,25.75,26.02,67580700,21.16,12.92,0.32,3.2,4.65,3.5,1371.0,6405.1
16,2005,1,26,1.3,1.3,1.27,1.29,739496800,8.77,6.31,0.01,4.47,4.72,4.46,4.71,494161321,13.62,18.17,0.02,1.75,1.79,1.72,1.77,42912000,6.90,5.21,0.01,2.06,2.09,2.01,2.07,154298000,259.03,23.58,0.04,26.07,26.17,25.9,26.01,64974500,21.16,12.92,0.32,3.23,4.72,3.5,1371.0,6405.1
17,2005,1,27,1.29,1.3,1.28,1.3,496227200,8.77,6.31,0.01,4.7,4.7,4.61,4.68,266089645,13.62,18.17,0.02,1.77,1.92,1.76,1.91,100291200,6.90,5.21,0.01,2.06,2.12,2.06,2.12,160768000,259.03,23.58,0.04,25.95,26.16,25.85,26.11,93204100,21.16,12.92,0.32,3.27,4.72,3.5,1371.0,6405.1
18,2005,1,28,1.3,1.32,1.29,1.32,801612000,8.77,6.31,0.01,4.73,4.85,4.64,4.74,490158373,13.62,18.17,0.02,1.92,1.92,1.87,1.91,67105200,6.90,5.21,0.01,2.1,2.15,2.08,2.11,123048000,259.03,23.58,0.04,26.54,26.65,25.96,26.18,110466500,21.16,12.92,0.32,3.28,4.73,3.5,1371.0,6405.1
19,2005,1,31,1.33,1.39,1.33,1.37,1681097600,8.77,6.31,0.01,4.82,4.89,4.78,4.87,385306832,13.62,18.17,0.02,1.92,1.95,1.88,1.91,56296800,8.21,6.43,0.02,2.12,2.17,2.12,2.16,126406000,259.03,23.58,0.04,26.35,26.52,26.16,26.28,71442100,21.16,12.92,0.32,3.25,4.66,3.5,1371.0,6405.1
20,2005,2,1,1.38,1.39,1.37,1.38,678395200,8.77,6.31,0.01,4.84,4.9,4.75,4.78,756384528,13.62,18.17,0.02,1.91,1.95,1.9,1.95,50718000,8.21,6.43,0.02,2.15,2.16,2.12,2.12,135230000,259.03,23.58,0.04,26.25,26.43,26.22,26.39,57981700,21.16,12.92,0.32,3.29,4.64,3.5,1371.0,6405.1
21,2005,2,2,1.39,1.43,1.39,1.42,1020062400,8.77,6.31,0.01,5.37,5.4,5.07,5.13,1316889593,13.62,18.17,0.02,2.02,2.07,1.97,2.05,203540400,8.21,6.43,0.02,2.15,2.18,2.04,2.09,526472000,259.03,23.58,0.04,26.42,26.5,26.28,26.46,79329500,21.16,12.92,0.32,3.29,4.65,3.3,1401.5,6447.4
22,2005,2,3,1.41,1.42,1.38,1.39,731651200,8.77,6.31,0.01,5.13,5.31,5.13,5.25,521471303,13.62,18.17,0.02,2.03,2.05,2.0,2.03,69012000,8.21,6.43,0.02,1.75,1.79,1.73,1.79,1210372000,259.03,23.58,0.04,26.37,26.4,26.1,26.18,62545400,21.16,12.92,0.32,3.32,4.63,3.3,1401.5,6447.4
23,2005,2,4,1.39,1.41,1.38,1.41,563556000,8.77,6.31,0.01,5.14,5.17,5.05,5.09,594993855,13.62,18.17,0.02,2.03,2.15,2.03,2.15,80644800,8.21,6.43,0.02,1.78,1.8,1.76,1.79,346094000,259.03,23.58,0.04,26.17,26.37,26.14,26.32,61246500,21.16,12.92,0.32,3.34,4.64,3.3,1401.5,6447.4
24,2005,2,7,1.41,1.42,1.38,1.41,524456800,8.77,6.31,0.01,5.11,5.14,4.87,4.88,520359150,13.62,18.17,0.02,2.15,2.19,2.1,2.12,52162800,8.21,6.43,0.02,1.79,1.79,1.78,1.78,142248000,259.03,23.58,0.04,26.27,26.3,26.06,26.16,57763400,21.16,12.92,0.32,3.29,4.54,3.3,1401.5,6447.4
25,2005,2,8,1.41,1.45,1.41,1.44,890019200,8.77,6.31,0.01,4.91,4.98,4.85,4.95,460921194,13.62,18.17,0.02,2.11,2.18,2.1,2.14,45577200,8.21,6.43,0.02,1.78,1.83,1.78,1.82,192050000,259.03,23.58,0.04,26.19,26.34,26.16,26.24,61343700,21.16,12.92,0.32,3.31,4.49,3.3,1401.5,6447.4
26,2005,2,9,1.45,1.46,1.39,1.41,1191456000,8.77,6.31,0.01,5.0,5.02,4.72,4.77,689434520,13.62,18.17,0.02,2.15,2.16,2.06,2.07,78375600,8.21,6.43,0.02,1.82,1.84,1.79,1.79,158776000,259.03,23.58,0.04,26.25,26.31,26.04,26.07,77874800,21.16,12.92,0.32,3.33,4.46,3.3,1401.5,6447.4
27,2005,2,10,1.41,1.42,1.37,1.4,1093019200,8.77,6.31,0.01,4.78,4.79,4.61,4.68,762154073,13.62,18.17,0.02,2.08,2.13,2.07,2.12,60237600,8.21,6.43,0.02,1.8,1.81,1.78,1.79,159648000,259.03,23.58,0.04,26.1,26.13,26.0,26.06,71796400,21.16,12.92,0.32,3.24,4.43,3.3,1401.5,6447.4
28,2005,2,11,1.43,1.46,1.41,1.45,1201054400,8.77,6.31,0.01,4.65,4.79,4.63,4.67,526606480,13.62,18.17,0.02,2.1,2.19,2.1,2.18,55651200,8.21,6.43,0.02,1.78,1.8,1.75,1.79,156834000,259.03,23.58,0.04,26.03,26.12,25.81,25.97,83835900,21.16,12.92,0.32,3.29,4.52,3.3,1401.5,6447.4
29,2005,2,14,1.48,1.51,1.47,1.51,1271463200,8.77,6.31,0.01,4.55,4.81,4.51,4.81,1548269624,13.62,18.17,0.02,2.18,2.19,2.12,2.13,43290000,8.21,6.43,0.02,1.78,1.83,1.77,1.8,139662000,259.03,23.58,0.04,25.93,26.12,25.91,26.01,58694000,21.16,12.92,0.32,3.34,4.55,3.3,1401.5,6447.4
30,2005,2,15,1.55,1.59,1.54,1.58,2312217600,8.77,6.31,0.01,4.82,4.98,4.81,4.86,1035177611,13.62,18.17,0.02,2.15,2.22,2.14,2.15,74850000,8.21,6.43,0.02,1.81,1.82,1.79,1.81,103554000,259.03,23.58,0.04,26.0,26.08,25.86,25.93,76551600,21.16,12.92,0.32,3.38,4.51,3.3,1401.5,6447.4
31,2005,2,16,1.57,1.61,1.56,1.61,1639243200,8.77,6.31,0.01,4.85,4.96,4.84,4.94,663770685,13.62,18.17,0.02,2.15,2.18,2.11,2.14,46646400,8.21,6.43,0.02,1.8,1.82,1.78,1.78,104596000,259.03,23.58,0.04,25.87,25.93,25.67,25.79,57506600,21.16,12.92,0.32,3.37,4.55,3.3,1401.5,6447.4
32,2005,2,17,1.62,1.62,1.56,1.57,1518473600,8.77,6.31,0.01,4.93,4.98,4.9,4.93,418137429,13.62,18.17,0.02,2.17,2.17,2.11,2.13,101740800,8.21,6.43,0.02,1.79,1.79,1.76,1.78,105962000,259.03,23.58,0.04,25.71,25.86,25.6,25.65,67024800,21.16,12.92,0.32,3.41,4.6,3.3,1401.5,6447.4
33,2005,2,18,1.57,1.57,1.54,1.55,1163254400,8.77,6.31,0.01,4.94,4.95,4.9,4.93,340708289,13.62,18.17,0.02,2.29,2.36,2.23,2.36,313212000,8.21,6.43,0.02,1.78,1.79,1.75,1.77,90594000,259.03,23.58,0.04,25.64,25.65,25.4,25.48,77091100,21.16,12.92,0.32,3.38,4.65,3.3,1401.5,6447.4
34,2005,2,22,1.54,1.58,1.52,1.52,1219293600,8.77,6.31,0.01,4.89,4.95,4.74,4.77,541369609,13.62,18.17,0.02,2.34,2.44,2.32,2.39,142080000,8.21,6.43,0.02,1.75,1.77,1.73,1.74,137114000,259.03,23.58,0.04,25.25,25.49,25.2,25.23,96419200,21.16,12.92,0.32,3.45,4.72,3.3,1401.5,6447.4
35,2005,2,23,1.55,1.58,1.53,1.58,1345181600,8.77,6.31,0.01,4.81,4.84,4.7,4.83,625776806,13.62,18.17,0.02,2.35,2.38,2.27,2.31,110784000,8.21,6.43,0.02,1.75,1.75,1.66,1.71,210008000,259.03,23.58,0.04,25.24,25.35,25.17,25.2,83689400,21.16,12.92,0.32,3.46,4.75,3.3,1401.5,6447.4
36,2005,2,24,1.58,1.59,1.57,1.59,1519028000,8.77,6.31,0.01,4.57,4.73,4.54,4.7,1036442333,13.62,18.17,0.02,2.28,2.37,2.28,2.37,69549600,8.21,6.43,0.02,1.68,1.74,1.68,1.73,167784000,259.03,23.58,0.04,25.18,25.44,25.15,25.37,85236300,21.16,12.92,0.32,3.46,4.73,3.3,1401.5,6447.4
37,2005,2,25,1.6,1.61,1.57,1.59,915510400,8.77,6.31,0.01,4.71,4.73,4.62,4.63,400435325,13.62,18.17,0.02,2.37,2.42,2.35,2.4,52513200,8.21,6.43,0.02,1.74,1.76,1.72,1.75,117646000,259.03,23.58,0.04,25.33,25.38,25.15,25.25,62467700,21.16,12.92,0.32,3.52,4.74,3.3,1401.5,6447.4
38,2005,2,28,1.6,1.61,1.57,1.6,651610400,8.77,6.31,0.01,4.63,4.73,4.63,4.68,313908211,13.62,18.17,0.02,2.39,2.42,2.37,2.42,75806400,8.21,6.43,0.02,1.74,1.78,1.73,1.76,168458000,259.03,23.58,0.04,25.22,25.37,25.13,25.16,82728000,21.16,12.92,0.32,3.54,4.72,3.3,1401.5,6447.4
39,2005,3,1,1.61,1.61,1.58,1.59,468188000,8.77,6.31,0.01,4.71,4.73,4.53,4.63,373844027,13.62,18.17,0.02,2.43,2.47,2.39,2.41,73714800,8.21,6.43,0.02,1.75,1.77,1.74,1.77,116380000,259.03,23.58,0.04,25.19,25.41,25.13,25.28,56394800,21.16,12.92,0.32,3.59,4.79,3.3,1401.5,6447.4
40,2005,3,2,1.58,1.6,1.57,1.58,458161200,8.77,6.31,0.01,4.63,4.67,4.59,4.61,292512314,13.62,18.17,0.02,2.38,2.4,2.33,2.34,94746000,8.21,6.43,0.02,1.77,1.8,1.75,1.77,97434000,259.03,23.58,0.04,25.19,25.48,25.16,25.26,67739000,21.16,12.92,0.32,3.59,4.8,3.0,1361.5,6404.1
41,2005,3,3,1.58,1.59,1.47,1.49,1411653600,8.77,6.31,0.01,4.64,4.68,4.59,4.66,305484756,13.62,18.17,0.02,2.33,2.35,2.27,2.31,76129200,8.21,6.43,0.02,1.77,1.8,1.77,1.78,100512000,259.03,23.58,0.04,25.3,25.31,25.14,25.17,52183600,21.16,12.92,0.32,3.57,4.82,3.0,1361.5,6404.1
42,2005,3,4,1.53,1.54,1.49,1.53,756618800,8.77,6.31,0.01,4.65,4.66,4.61,4.63,271979640,13.62,18.17,0.02,2.31,2.33,2.28,2.3,59312400,8.21,6.43,0.02,1.79,1.82,1.78,1.79,110914000,259.03,23.58,0.04,25.21,25.3,25.13,25.17,63058200,21.16,12.92,0.32,3.59,4.82,3.0,1361.5,6404.1
43,2005,3,7,1.53,1.54,1.51,1.53,450632000,8.77,6.31,0.01,4.68,4.72,4.66,4.7,347995502,13.62,18.17,0.02,2.31,2.37,2.29,2.32,51117600,8.21,6.43,0.02,1.8,1.82,1.79,1.82,71718000,259.03,23.58,0.04,25.17,25.79,25.16,25.47,80407400,21.16,12.92,0.32,3.57,4.73,3.0,1361.5,6404.1
44,2005,3,8,1.5,1.51,1.43,1.45,1021451200,8.77,6.31,0.01,4.71,4.73,4.61,4.61,323050350,13.62,18.17,0.02,2.32,2.32,2.19,2.2,133238400,8.21,6.43,0.02,1.82,1.82,1.79,1.79,95858000,259.03,23.58,0.04,25.4,25.62,25.34,25.4,52871800,21.16,12.92,0.32,3.61,4.7,3.0,1361.5,6404.1
45,2005,3,9,1.42,1.44,1.39,1.41,1322465200,8.77,6.31,0.01,4.59,4.6,4.49,4.52,456119263,13.62,18.17,0.02,2.19,2.23,2.14,2.15,91014000,8.21,6.43,0.02,1.79,1.8,1.75,1.77,148246000,259.03,23.58,0.04,25.39,25.57,25.28,25.31,62991800,21.16,12.92,0.32,3.62,4.78,3.0,1361.5,6404.1
46,2005,3,10,1.41,1.44,1.4,1.42,777109200,8.77,6.31,0.01,4.51,4.51,4.42,4.48,440063306,13.62,18.17,0.02,2.15,2.17,2.11,2.14,68928000,8.21,6.43,0.02,1.77,1.79,1.73,1.75,117446000,259.03,23.58,0.04,25.43,25.48,25.25,25.43,59132900,21.16,12.92,0.32,3.66,4.92,3.0,1361.5,6404.1
