,Year,Month,Day,EPS
0,2023,7,1,1.27
1,2023,4,1,1.54
2,2022,12,31,1.89
3,2022,9,24,1.30
4,2022,6,25,1.21
5,2022,3,26,1.54
6,2021,12,25,2.12
7,2021,9,25,1.25
8,2021,6,26,1.31
9,2021,3,27,1.42
10,2020,12,26,1.71
11,2020,9,26,0.75
12,2020,6,27,0.66
13,2020,3,28,0.65
14,2019,12,28,1.27
15,2019,9,28,0.77
16,2019,6,29,0.55
17,2019,3,30,0.63
18,2018,12,29,1.06
19,2018,9,29,0.74
20,2018,6,30,0.59
21,2018,3,31,0.70
22,2017,12,30,0.99
23,2017,9,30,0.52
24,2017,7,1,0.42
25,2017,4,1,0.53
26,2016,12,31,0.85
27,2016,9,24,0.42
28,2016,6,25,0.36
29,2016,3,26,0.48
30,2015,12,26,0.83
31,2015,9,26,0.50
32,2015,6,27,0.47
33,2015,3,28,0.59
34,2014,12,27,0.77
35,2014,9,27,0.36
36,2014,6,28,0.32
37,2014,3,29,0.42
38,2013,12,28,0.52
39,2013,9,28,0.30
40,2013,6,29,0.27
41,2013,3,30,0.36
42,2012,12,29,0.50
43,2012,9,29,0.31
44,2012,6,30,0.34
45,2012,3,31,0.44
46,2011,12,31,0.50
47,2011,9,24,0.25
48,2011,6,25,0.28
49,2011,3,26,0.23
50,2010,12,25,0.23
51,2010,9,25,0.17
52,2010,6,26,0.13
53,2010,3,27,0.12
54,2009,12,26,0.13
55,2009,9,26,0.10
56,2009,6,27,0.07
57,2009,3,28,0.06
58,2008,12,27,0.09
59,2008,9,27,0.09
60,2008,6,28,0.05
61,2008,3,29,0.04
62,2007,12,29,0.07
63,2007,9,29,0.04
64,2007,6,30,0.03
65,2007,3,31,0.03
66,2006,12,30,0.04
67,2006,9,30,0.02
68,2006,7,1,0.02
69,2006,4,1,0.02
70,2005,12,31,0.02
71,2005,9,24,0.02
72,2005,6,25,0.01
73,2005,3,26,0.01
74,2004,12,25,0.01
75,2004,9,25,0.00
76,2004,6,26,0.00
77,2004,3,27,0.00
78,2003,12,27,0.00
79,2003,9,27,0.00
