,Year,Month,Day,ROA
0,2023,7,1,27.56%
1,2023,4,1,28.22%
2,2022,12,31,27.29%
3,2022,9,24,27.20%
4,2022,6,25,28.99%
5,2022,3,26,29.96%
6,2021,12,25,28%
7,2021,9,25,26.86%
8,2021,6,26,26.56%
9,2021,3,27,23.32%
10,2020,12,26,18.96%
11,2020,9,26,17.28%
12,2020,6,27,17.82%
13,2020,3,28,17.81%
14,2019,12,28,16.86%
15,2019,9,28,15.52%
16,2019,6,29,16.19%
17,2019,3,30,16.54%
18,2018,12,29,16.04%
19,2018,9,29,15.41%
20,2018,6,30,15.49%
21,2018,3,31,14.96%
22,2017,12,30,13.63%
23,2017,9,30,13.69%
24,2017,7,1,13.99%
25,2017,4,1,14.29%
26,2016,12,31,14.21%
27,2016,9,24,14.86%
28,2016,6,25,16.04%
29,2016,3,26,17.52%
30,2015,12,26,19.38%
31,2015,9,26,19.34%
32,2015,6,27,20.09%
33,2015,3,28,19.77%
34,2014,12,27,19.01%
35,2014,9,27,17.29%
36,2014,6,28,17.95%
37,2014,3,29,18.58%
38,2013,12,28,17.64%
39,2013,9,28,18.38%
40,2013,6,29,20.08%
41,2013,3,30,22.19%
42,2012,12,29,24.06%
43,2012,9,29,26.52%
44,2012,6,30,28.74%
45,2012,3,31,29.97%
46,2011,12,31,28.24%
47,2011,9,24,25.53%
48,2011,6,25,25.95%
49,2011,3,26,24.50%
50,2010,12,25,23.14%
51,2010,9,25,21.71%
52,2010,6,26,21.81%
53,2010,3,27,20.56%
54,2009,12,26,19.26%
55,2009,9,26,18.24%
56,2009,6,27,18.86%
57,2009,3,28,19.36%
58,2008,12,27,18.38%
59,2008,9,27,18.48%
60,2008,6,28,16.62%
61,2008,3,29,17.08%
62,2007,12,29,16.92%
63,2007,9,29,15.60%
64,2007,6,30,16.30%
65,2007,3,31,16.55%
66,2006,12,30,14.59%
67,2006,9,30,12.67%
68,2006,7,1,14.10%
69,2006,4,1,14.14%
70,2005,12,31,13.17%
71,2005,9,24,12.74%
72,2005,6,25,10.85%
73,2005,3,26,8.62%
74,2004,12,25,6.31%
75,2004,9,25,3.68%
76,2004,6,26,3.05%
