,Year,Month,Day,ROE
0,2023,7,1,157.22%
1,2023,4,1,151.74%
2,2022,12,31,167.77%
3,2022,9,24,196.96%
4,2022,6,25,171.47%
5,2022,3,26,151.24%
6,2021,12,25,139.79%
7,2021,9,25,150.07%
8,2021,6,26,135.04%
9,2021,3,27,110.31%
10,2020,12,26,96.54%
11,2020,9,26,87.87%
12,2020,6,27,80.83%
13,2020,3,28,72.96%
14,2019,12,28,64.25%
15,2019,9,28,61.06%
16,2019,6,29,57.74%
17,2019,3,30,54.01%
18,2018,12,29,50.41%
19,2018,9,29,55.56%
20,2018,6,30,48.82%
21,2018,3,31,42.02%
22,2017,12,30,36.04%
23,2017,9,30,36.07%
24,2017,7,1,35.23%
25,2017,4,1,34.11%
26,2016,12,31,34.15%
27,2016,9,24,35.62%
28,2016,6,25,37.77%
29,2016,3,26,38.85%
30,2015,12,26,41.89%
31,2015,9,26,44.74%
32,2015,6,27,40.37%
33,2015,3,28,37.06%
34,2014,12,27,36.05%
35,2014,9,27,35.42%
36,2014,6,28,31.88%
37,2014,3,29,31.38%
38,2013,12,28,28.56%
39,2013,9,28,29.98%
40,2013,6,29,30.60%
41,2013,3,30,29.28%
42,2012,12,29,32.78%
43,2012,9,29,35.30%
44,2012,6,30,35.91%
45,2012,3,31,37.68%
46,2011,12,31,36.63%
47,2011,9,24,33.83%
48,2011,6,25,34.04%
49,2011,3,26,31.80%
50,2010,12,25,30.44%
51,2010,9,25,29.32%
52,2010,6,26,28.39%
53,2010,3,27,27.48%
54,2009,12,26,26.16%
55,2009,9,26,26.03%
56,2009,6,27,30.71%
57,2009,3,28,29.83%
58,2008,12,27,29.40%
59,2008,9,27,27.44%
60,2008,6,28,24.17%
61,2008,3,29,24.66%
62,2007,12,29,24.54%
63,2007,9,29,24.05%
64,2007,6,30,23.63%
65,2007,3,31,22.83%
66,2006,12,30,21.69%
67,2006,9,30,19.92%
68,2006,7,1,20.12%
69,2006,4,1,19.87%
70,2005,12,31,19.09%
71,2005,9,24,17.91%
72,2005,6,25,14.75%
73,2005,3,26,11.70%
74,2004,12,25,8.77%
75,2004,9,25,5.44%
76,2004,6,26,4.45%
77,2004,3,27,4.39%
78,2003,12,27,4.50%
79,2003,9,27,4.17%
