,Year,Month,Day,EPS
0,2023,6,30,0.65
1,2023,3,31,0.31
2,2022,12,31,0.03
3,2022,9,30,0.28
4,2022,6,30,-$0.20
5,2022,3,31,-$0.38
6,2021,12,31,1.41
7,2021,9,30,0.31
8,2021,6,30,0.77
9,2021,3,31,0.80
10,2020,12,31,0.72
11,2020,9,30,0.63
12,2020,6,30,0.52
13,2020,3,31,0.25
14,2019,12,31,0.33
15,2019,9,30,0.22
16,2019,6,30,0.27
17,2019,3,31,0.36
18,2018,12,31,0.31
19,2018,9,30,0.29
20,2018,6,30,0.26
21,2018,3,31,0.17
22,2017,12,31,0.19
23,2017,9,30,0.03
24,2017,6,30,0.02
25,2017,3,31,0.08
26,2016,12,31,0.08
27,2016,9,30,0.03
28,2016,6,30,0.09
29,2016,3,31,0.05
30,2015,12,31,0.05
31,2015,9,30,0.01
32,2015,6,30,0.01
33,2015,3,31,-$0.01
34,2014,12,31,0.02
35,2014,9,30,-$0.05
36,2014,6,30,-$0.01
37,2014,3,31,0.01
38,2013,12,31,0.03
39,2013,9,30,0.00
40,2013,6,30,0.00
41,2013,3,31,0.01
42,2012,12,31,0.01
43,2012,9,30,-$0.03
44,2012,6,30,0.00
45,2012,3,31,0.01
46,2011,12,31,0.02
47,2011,9,30,0.01
48,2011,6,30,0.02
49,2011,3,31,0.02
50,2010,12,31,0.05
51,2010,9,30,0.03
52,2010,6,30,0.02
53,2010,3,31,0.03
54,2009,12,31,0.04
55,2009,9,30,0.02
56,2009,6,30,0.02
57,2009,3,31,0.02
58,2008,12,31,0.03
59,2008,9,30,0.01
60,2008,6,30,0.02
61,2008,3,31,0.02
62,2007,12,31,0.02
63,2007,9,30,0.01
64,2007,6,30,0.01
65,2007,3,31,0.01
66,2006,12,31,0.01
67,2006,9,30,0.00
68,2006,6,30,0.00
69,2006,3,31,0.01
70,2005,12,31,0.02
71,2005,9,30,0.00
72,2005,6,30,0.01
73,2005,3,31,0.01
74,2004,12,31,0.04
75,2004,9,30,0.01
76,2004,6,30,0.01
77,2004,3,31,0.01
78,2003,12,31,0.01
79,2003,9,30,0.00
