,Year,Month,Day,ROA
0,2023,6,30,2.89%
1,2023,3,31,0.97%
2,2022,12,31,-0.62%
3,2022,9,30,2.67%
4,2022,6,30,2.89%
5,2022,3,31,5.55%
6,2021,12,31,8.97%
7,2021,9,30,7.47%
8,2021,6,30,9.16%
9,2021,3,31,9.26%
10,2020,12,31,7.87%
11,2020,9,30,6.85%
12,2020,6,30,5.76%
13,2020,3,31,5.12%
14,2019,12,31,5.75%
15,2019,9,30,6.27%
16,2019,6,30,7.22%
17,2019,3,31,7.69%
18,2018,12,31,6.97%
19,2018,9,30,6.48%
20,2018,6,30,5.03%
21,2018,3,31,3.68%
22,2017,12,31,2.86%
23,2017,9,30,1.94%
24,2017,6,30,2.42%
25,2017,3,31,3.54%
26,2016,12,31,3.28%
27,2016,9,30,3.10%
28,2016,6,30,3.18%
29,2016,3,31,2.05%
30,2015,12,31,1.04%
31,2015,9,30,0.59%
32,2015,6,30,-0.40%
33,2015,3,31,-0.92%
34,2014,12,31,-0.53%
35,2014,9,30,-0.53%
36,2014,6,30,0.52%
37,2014,3,31,0.91%
38,2013,12,31,0.80%
39,2013,9,30,0.41%
40,2013,6,30,-0.39%
41,2013,3,31,-0.36%
42,2012,12,31,-0.15%
43,2012,9,30,0.17%
44,2012,6,30,1.88%
45,2012,3,31,2.93%
46,2011,12,31,3%
47,2011,9,30,4.60%
48,2011,6,30,6.47%
49,2011,3,31,7.21%
50,2010,12,31,7.48%
51,2010,9,30,8.01%
52,2010,6,30,10.19%
53,2010,3,31,10.39%
54,2009,12,31,8.68%
55,2009,9,30,8.61%
56,2009,6,30,9.31%
57,2009,3,31,10.21%
58,2008,12,31,9.09%
59,2008,9,30,9.59%
60,2008,6,30,10.75%
61,2008,3,31,10.30%
62,2007,12,31,9.38%
63,2007,9,30,8.17%
64,2007,6,30,8.44%
65,2007,3,31,7.33%
66,2006,12,31,5.17%
67,2006,9,30,8.36%
68,2006,6,30,10.07%
69,2006,3,31,11.88%
70,2005,12,31,11.64%
71,2005,9,30,16.68%
72,2005,6,30,22.55%
73,2005,3,31,25.46%
74,2004,12,31,23.58%
75,2004,9,30,14.70%
76,2004,6,30,15.17%
