,Year,Month,Day,EPS
0,2023,6,30,1.45
1,2023,3,31,1.18
2,2022,12,31,1.06
3,2022,9,30,1.07
4,2022,6,30,1.22
5,2022,3,31,1.25
6,2021,12,31,1.56
7,2021,9,30,1.42
8,2021,6,30,1.39
9,2021,3,31,1.34
10,2020,12,31,1.13
11,2020,9,30,0.83
12,2020,6,30,0.51
13,2020,3,31,0.50
14,2019,12,31,0.78
15,2019,9,30,0.51
16,2019,6,30,0.72
17,2019,3,31,0.48
18,2018,12,31,0.64
19,2018,9,30,0.66
20,2018,6,30,0.23
21,2018,3,31,0.68
22,2017,12,31,-$0.22
23,2017,9,30,0.48
24,2017,6,30,0.25
25,2017,3,31,0.39
26,2016,12,31,0.39
27,2016,9,30,0.37
28,2016,6,30,0.36
29,2016,3,31,0.31
30,2015,12,31,0.36
31,2015,9,30,0.29
32,2015,6,30,0.25
33,2015,3,31,0.26
34,2014,12,31,0.34
35,2014,9,30,0.20
36,2014,6,30,0.25
37,2014,3,31,0.25
38,2013,12,31,0.24
39,2013,9,30,0.22
40,2013,6,30,0.24
41,2013,3,31,0.25
42,2012,12,31,0.22
43,2012,9,30,0.17
44,2012,6,30,0.21
45,2012,3,31,0.22
46,2011,12,31,0.21
47,2011,9,30,0.21
48,2011,6,30,0.19
49,2011,3,31,0.14
50,2010,12,31,0.20
51,2010,9,30,0.17
52,2010,6,30,0.14
53,2010,3,31,0.15
54,2009,12,31,0.16
55,2009,9,30,0.13
56,2009,6,30,0.12
57,2009,3,31,0.11
58,2008,12,31,0.03
59,2008,9,30,0.10
60,2008,6,30,0.10
61,2008,3,31,0.10
62,2007,12,31,0.10
63,2007,9,30,0.09
64,2007,6,30,0.07
65,2007,3,31,0.08
66,2006,12,31,0.08
67,2006,9,30,0.06
68,2006,6,30,0.06
69,2006,3,31,0.05
70,2005,12,31,0.03
71,2005,9,30,0.03
72,2005,6,30,0.03
73,2005,3,31,0.03
74,2004,12,31,0.02
75,2004,9,30,0.00
76,2004,6,30,0.01
77,2004,3,31,0.01
78,2003,12,31,0.00
79,2003,9,30,0.00
