,Year,Month,Day,ROA
0,2023,6,30,16.45%
1,2023,3,31,16.17%
2,2022,12,31,16.60%
3,2022,9,30,18.67%
4,2022,6,30,20.50%
5,2022,3,31,21.53%
6,2021,12,31,22.16%
7,2021,9,30,21.17%
8,2021,6,30,19.83%
9,2021,3,31,16.96%
10,2020,12,31,13.58%
11,2020,9,30,12.42%
12,2020,6,30,11.65%
13,2020,3,31,13.02%
14,2019,12,31,13.18%
15,2019,9,30,13.16%
16,2019,6,30,14.52%
17,2019,3,31,12.25%
18,2018,12,31,13.98%
19,2018,9,30,8.96%
20,2018,6,30,8.13%
21,2018,3,31,8.63%
22,2017,12,31,6.84%
23,2017,9,30,11.77%
24,2017,6,30,11.43%
25,2017,3,31,12.66%
26,2016,12,31,12.28%
27,2016,9,30,12.41%
28,2016,6,30,12.05%
29,2016,3,31,11.45%
30,2015,12,31,11.27%
31,2015,9,30,11.39%
32,2015,6,30,10.84%
33,2015,3,31,11.20%
34,2014,12,31,11.51%
35,2014,9,30,10.69%
36,2014,6,30,11.37%
37,2014,3,31,11.72%
38,2013,12,31,12.27%
39,2013,9,30,12.50%
40,2013,6,30,12.19%
41,2013,3,31,12.25%
42,2012,12,31,12.56%
43,2012,9,30,13.01%
44,2012,6,30,14.32%
45,2012,3,31,15.25%
46,2011,12,31,14.69%
47,2011,9,30,15.09%
48,2011,6,30,15.25%
49,2011,3,31,15.46%
50,2010,12,31,16.89%
51,2010,9,30,16.91%
52,2010,6,30,17.28%
53,2010,3,31,18.08%
54,2009,12,31,17.62%
55,2009,9,30,14.19%
56,2009,6,30,13.89%
57,2009,3,31,13.85%
58,2008,12,31,14.24%
59,2008,9,30,17.99%
60,2008,6,30,18.39%
61,2008,3,31,18.39%
62,2007,12,31,18.54%
63,2007,9,30,19.27%
64,2007,6,30,19.89%
65,2007,3,31,20.27%
66,2006,12,31,20.67%
67,2006,9,30,18.63%
68,2006,6,30,17.33%
69,2006,3,31,21.38%
70,2005,12,31,20.73%
71,2005,9,30,20.32%
72,2005,6,30,26.21%
73,2005,3,31,27.11%
74,2004,12,31,18.17%
75,2004,9,30,11.81%
