,Year,Month,Day,ROE
0,2023,6,30,22.82%
1,2023,3,31,22.46%
2,2022,12,31,23.41%
3,2022,9,30,26.41%
4,2022,6,30,28.20%
5,2022,3,31,29.35%
6,2021,12,31,30.22%
7,2021,9,30,28.88%
8,2021,6,30,26.49%
9,2021,3,31,22.33%
10,2020,12,31,18.10%
11,2020,9,30,16.77%
12,2020,6,30,15.21%
13,2020,3,31,16.95%
14,2019,12,31,17.05%
15,2019,9,30,16.73%
16,2019,6,30,18.08%
17,2019,3,31,15.26%
18,2018,12,31,17.30%
19,2018,9,30,11.05%
20,2018,6,30,10.07%
21,2018,3,31,10.35%
22,2017,12,31,8.30%
23,2017,9,30,13.38%
24,2017,6,30,13.05%
25,2017,3,31,14.28%
26,2016,12,31,14.01%
27,2016,9,30,14.22%
28,2016,6,30,14.07%
29,2016,3,31,13.37%
30,2015,12,31,13.15%
31,2015,9,30,13.40%
32,2015,6,30,12.83%
33,2015,3,31,13.17%
34,2014,12,31,13.61%
35,2014,9,30,12.80%
36,2014,6,30,13.45%
37,2014,3,31,13.91%
38,2013,12,31,14.58%
39,2013,9,30,14.98%
40,2013,6,30,14.76%
41,2013,3,31,14.83%
42,2012,12,31,14.97%
43,2012,9,30,15.52%
44,2012,6,30,17.16%
45,2012,3,31,17.55%
46,2011,12,31,16.75%
47,2011,9,30,17.46%
48,2011,6,30,17.34%
49,2011,3,31,17.09%
50,2010,12,31,18.39%
51,2010,9,30,18.33%
52,2010,6,30,18.24%
53,2010,3,31,18.42%
54,2009,12,31,18.11%
55,2009,9,30,14.62%
56,2009,6,30,14.50%
57,2009,3,31,14.55%
58,2008,12,31,14.97%
59,2008,9,30,18.38%
60,2008,6,30,18.64%
61,2008,3,31,18.52%
62,2007,12,31,18.52%
63,2007,9,30,19.15%
64,2007,6,30,18.77%
65,2007,3,31,18.98%
66,2006,12,31,18.06%
67,2006,9,30,16.80%
68,2006,6,30,15.47%
69,2006,3,31,16.48%
70,2005,12,31,15.55%
71,2005,9,30,14.75%
72,2005,6,30,24.48%
73,2005,3,31,20.54%
74,2004,12,31,13.62%
75,2004,9,30,8.57%
76,2004,6,30,18.68%
77,2004,3,31,17.68%
78,2003,12,31,14.45%
