,2 Yr,20 Yr,Month,Day,Year
0,5.04,4.97,10,13,2023
1,5.06,5.05,10,12,2023
2,4.99,4.92,10,11,2023
3,4.96,5.03,10,10,2023
4,5.08,5.13,10,6,2023
5,5.03,5.06,10,5,2023
6,5.05,5.05,10,4,2023
7,5.15,5.13,10,3,2023
8,5.12,5.0,10,2,2023
9,5.03,4.92,9,29,2023
10,5.04,4.9,9,28,2023
11,5.1,4.91,9,27,2023
12,5.04,4.86,9,26,2023
13,5.09,4.84,9,25,2023
14,5.1,4.7,9,22,2023
15,5.12,4.74,9,21,2023
16,5.12,4.57,9,20,2023
17,5.08,4.6,9,19,2023
18,5.05,4.57,9,18,2023
19,5.02,4.59,9,15,2023
20,5.0,4.57,9,14,2023
21,4.96,4.52,9,13,2023
22,4.98,4.54,9,12,2023
23,4.97,4.56,9,11,2023
24,4.98,4.52,9,8,2023
25,4.94,4.55,9,7,2023
26,5.01,4.56,9,6,2023
27,4.94,4.56,9,5,2023
28,4.87,4.48,9,1,2023
29,4.85,4.39,8,31,2023
30,4.9,4.42,8,30,2023
31,4.87,4.42,8,29,2023
32,4.98,4.48,8,28,2023
33,5.03,4.5,8,25,2023
34,4.98,4.49,8,24,2023
35,4.95,4.46,8,23,2023
36,5.02,4.61,8,22,2023
37,4.97,4.64,8,21,2023
38,4.92,4.55,8,18,2023
39,4.94,4.58,8,17,2023
40,4.97,4.55,8,16,2023
41,4.92,4.49,8,15,2023
42,4.96,4.46,8,14,2023
43,4.89,4.45,8,11,2023
44,4.82,4.41,8,10,2023
45,4.79,4.33,8,9,2023
46,4.74,4.35,8,8,2023
47,4.76,4.42,8,7,2023
48,4.78,4.36,8,4,2023
49,4.9,4.49,8,3,2023
50,4.88,4.35,8,2,2023
51,4.92,4.3,8,1,2023
52,4.88,4.22,7,31,2023
53,4.87,4.22,7,28,2023
54,4.91,4.26,7,27,2023
55,4.82,4.12,7,26,2023
56,4.85,4.14,7,25,2023
57,4.81,4.11,7,24,2023
58,4.82,4.1,7,21,2023
59,4.8,4.1,7,20,2023
60,4.74,4.01,7,19,2023
61,4.74,4.08,7,18,2023
62,4.74,4.1,7,17,2023
63,4.74,4.11,7,14,2023
64,4.59,4.07,7,13,2023
65,4.72,4.14,7,12,2023
66,4.88,4.22,7,11,2023
67,4.85,4.24,7,10,2023
68,4.94,4.27,7,7,2023
69,4.99,4.23,7,6,2023
70,4.94,4.17,7,5,2023
71,4.94,4.08,7,3,2023
72,4.87,4.06,6,30,2023
73,4.87,4.11,6,29,2023
74,4.71,4.0,6,28,2023
75,4.74,4.03,6,27,2023
76,4.65,4.01,6,26,2023
77,4.71,4.01,6,23,2023
78,4.77,4.06,6,22,2023
79,4.68,3.99,6,21,2023
80,4.68,4.01,6,20,2023
81,4.7,4.05,6,16,2023
82,4.62,4.02,6,15,2023
83,4.74,4.09,6,14,2023
84,4.67,4.12,6,13,2023
85,4.55,4.04,6,12,2023
86,4.59,4.05,6,9,2023
87,4.52,4.05,6,8,2023
88,4.56,4.12,6,7,2023
89,4.51,4.02,6,6,2023
90,4.46,4.03,6,5,2023
