,Year,Month,Day,EPS
0,2023,6,30,2.70
1,2023,3,31,2.46
2,2022,12,31,2.21
3,2022,9,30,2.35
4,2022,6,30,2.24
5,2022,3,31,2.24
6,2021,12,31,2.50
7,2021,9,30,2.73
8,2021,6,30,2.19
9,2021,3,31,2.05
10,2020,12,31,2.05
11,2020,9,30,1.84
12,2020,6,30,1.48
13,2020,3,31,1.42
14,2019,12,31,1.53
15,2019,9,30,1.40
16,2019,6,30,1.73
17,2019,3,31,1.15
18,2018,12,31,1.10
19,2018,9,30,1.15
20,2018,6,30,1.16
21,2018,3,31,0.97
22,2017,12,31,-$0.82
23,2017,9,30,0.85
24,2017,6,30,1.05
25,2017,3,31,0.71
26,2016,12,31,0.81
27,2016,9,30,0.73
28,2016,6,30,0.88
29,2016,3,31,0.48
30,2015,12,31,0.63
31,2015,9,30,0.61
32,2015,6,30,-$0.40
33,2015,3,31,0.61
34,2014,12,31,0.71
35,2014,9,30,0.55
36,2014,6,30,0.56
37,2014,3,31,0.69
38,2013,12,31,0.79
39,2013,9,30,0.63
40,2013,6,30,0.60
41,2013,3,31,0.73
42,2012,12,31,0.76
43,2012,9,30,0.53
44,2012,6,30,-$0.06
45,2012,3,31,0.61
46,2011,12,31,0.79
47,2011,9,30,0.68
48,2011,6,30,0.70
49,2011,3,31,0.62
50,2010,12,31,0.79
51,2010,9,30,0.63
52,2010,6,30,0.52
53,2010,3,31,0.46
54,2009,12,31,0.76
55,2009,9,30,0.40
56,2009,6,30,0.34
57,2009,3,31,0.33
58,2008,12,31,0.47
59,2008,9,30,0.49
60,2008,6,30,0.47
61,2008,3,31,0.47
62,2007,12,31,0.50
63,2007,9,30,0.46
64,2007,6,30,0.32
65,2007,3,31,0.51
66,2006,12,31,0.27
67,2006,9,30,0.35
68,2006,6,30,0.28
69,2006,3,31,0.29
70,2005,12,31,0.35
71,2005,9,30,0.30
72,2005,6,30,0.35
73,2005,3,31,0.24
74,2004,12,31,0.32
75,2004,9,30,0.23
76,2004,6,30,0.25
77,2004,3,31,0.12
78,2003,12,31,0.14
79,2003,9,30,0.24
