,Year,Month,Day,ROA
0,2023,6,30,18.75%
1,2023,3,31,18.53%
2,2022,12,31,19.02%
3,2022,9,30,19.94%
4,2022,6,30,20.78%
5,2022,3,31,21.36%
6,2021,12,31,21.93%
7,2021,9,30,21.23%
8,2021,6,30,19.31%
9,2021,3,31,18.36%
10,2020,12,31,17.41%
11,2020,9,30,16.27%
12,2020,6,30,15.26%
13,2020,3,31,16.18%
14,2019,12,31,16.23%
15,2019,9,30,15.28%
16,2019,6,30,14.42%
17,2019,3,31,13.38%
18,2018,12,31,13.30%
19,2018,9,30,7.33%
20,2018,6,30,6.53%
21,2018,3,31,6.36%
22,2017,12,31,5.75%
23,2017,9,30,11.15%
24,2017,6,30,11.01%
25,2017,3,31,11.61%
26,2016,12,31,11.10%
27,2016,9,30,10.85%
28,2016,6,30,11.21%
29,2016,3,31,5.88%
30,2015,12,31,6.56%
31,2015,9,30,7.22%
32,2015,6,30,7.09%
33,2015,3,31,11.46%
34,2014,12,31,12.49%
35,2014,9,30,13.22%
36,2014,6,30,14.03%
37,2014,3,31,15.02%
38,2013,12,31,15.87%
39,2013,9,30,16.71%
40,2013,6,30,16.54%
41,2013,3,31,12.85%
42,2012,12,31,12.53%
43,2012,9,30,13.42%
44,2012,6,30,14.85%
45,2012,3,31,20.59%
46,2011,12,31,22.14%
47,2011,9,30,23.51%
48,2011,6,30,23.12%
49,2011,3,31,23.46%
50,2010,12,31,23.21%
51,2010,9,30,23.72%
52,2010,6,30,22.37%
53,2010,3,31,21.24%
54,2009,12,31,21.54%
55,2009,9,30,18.68%
56,2009,6,30,20.38%
57,2009,3,31,22.34%
58,2008,12,31,25.24%
59,2008,9,30,26.82%
60,2008,6,30,25.54%
61,2008,3,31,24.52%
62,2007,12,31,25.84%
63,2007,9,30,22.54%
64,2007,6,30,21.89%
65,2007,3,31,20.76%
66,2006,12,31,17.88%
67,2006,9,30,19.51%
68,2006,6,30,17.86%
69,2006,3,31,19.57%
70,2005,12,31,19.56%
71,2005,9,30,18.87%
72,2005,6,30,14.85%
73,2005,3,31,14%
74,2004,12,31,12.92%
75,2004,9,30,8.97%
76,2004,6,30,9.14%
