,Year,Month,Day,ROE
0,2023,6,30,35.09%
1,2023,3,31,35.45%
2,2022,12,31,36.83%
3,2022,9,30,40.21%
4,2022,6,30,43.68%
5,2022,3,31,44.47%
6,2021,12,31,44.49%
7,2021,9,30,44.67%
8,2021,6,30,43.15%
9,2021,3,31,41.65%
10,2020,12,31,39.40%
11,2020,9,30,38.49%
12,2020,6,30,37.43%
13,2020,3,31,40.41%
14,2019,12,31,40.25%
15,2019,9,30,38.75%
16,2019,6,30,38.35%
17,2019,3,31,36.82%
18,2018,12,31,36.41%
19,2018,9,30,21.89%
20,2018,6,30,20.03%
21,2018,3,31,19.90%
22,2017,12,31,17.65%
23,2017,9,30,29.45%
24,2017,6,30,29.06%
25,2017,3,31,34.83%
26,2016,12,31,32.78%
27,2016,9,30,30.27%
28,2016,6,30,28.53%
29,2016,3,31,14.01%
30,2015,12,31,15.25%
31,2015,9,30,16.21%
32,2015,6,30,15.23%
33,2015,3,31,22.19%
34,2014,12,31,22.50%
35,2014,9,30,23.70%
36,2014,6,30,24.59%
37,2014,3,31,25.65%
38,2013,12,31,26.82%
39,2013,9,30,27.73%
40,2013,6,30,27.69%
41,2013,3,31,21.39%
42,2012,12,31,21.30%
43,2012,9,30,22.82%
44,2012,6,30,25.58%
45,2012,3,31,34%
46,2011,12,31,36.60%
47,2011,9,30,39.53%
48,2011,6,30,40.56%
49,2011,3,31,40.77%
50,2010,12,31,42.43%
51,2010,9,30,43.88%
52,2010,6,30,40.63%
53,2010,3,31,37.82%
54,2009,12,31,36.71%
55,2009,9,30,33.41%
56,2009,6,30,36.83%
57,2009,3,31,42.83%
58,2008,12,31,49.98%
59,2008,9,30,52.88%
60,2008,6,30,48.73%
61,2008,3,31,43.72%
62,2007,12,31,49.25%
63,2007,9,30,46.29%
64,2007,6,30,45.23%
65,2007,3,31,39.63%
66,2006,12,31,32.51%
67,2006,9,30,35.83%
68,2006,6,30,31.42%
69,2006,3,31,32.05%
70,2005,12,31,29.54%
71,2005,9,30,26.63%
72,2005,6,30,25.47%
73,2005,3,31,23.74%
74,2004,12,31,21.16%
75,2004,9,30,10.64%
76,2004,6,30,10.92%
77,2004,3,31,11.47%
78,2003,12,31,13.54%
79,2003,9,30,15.68%
