,Year,Month,M1,M2
0,1959,1,142.2,289.8
1,1959,2,139.3,287.7
2,1959,3,138.4,287.9
3,1959,4,139.7,290.2
4,1959,5,138.7,290.2
5,1959,6,139.4,292.5
6,1959,7,140.3,294.4
7,1959,8,140.0,294.8
8,1959,9,140.3,296.1
9,1959,10,140.7,296.9
10,1959,11,141.8,297.8
11,1959,12,143.6,300.6
12,1960,1,143.3,301.5
13,1960,2,139.8,298.5
14,1960,3,138.5,298.2
15,1960,4,139.7,300.3
16,1960,5,137.6,298.9
17,1960,6,137.9,300.9
18,1960,7,138.9,303.5
19,1960,8,139.4,305.2
20,1960,9,140.5,307.8
21,1960,10,141.2,309.9
22,1960,11,142.3,311.7
23,1960,12,144.5,315.3
24,1961,1,144.5,317.5
25,1961,2,141.6,316.6
26,1961,3,140.6,317.2
27,1961,4,142.4,320.2
28,1961,5,140.6,320.0
29,1961,6,141.2,322.7
30,1961,7,141.5,324.9
31,1961,8,141.4,325.8
32,1961,9,143.1,328.8
33,1961,10,144.4,331.5
34,1961,11,146.3,334.1
35,1961,12,149.2,338.5
36,1962,1,148.9,341.1
37,1962,2,145.6,340.3
38,1962,3,144.6,342.1
39,1962,4,146.7,346.0
40,1962,5,144.5,345.0
41,1962,6,144.8,347.7
42,1962,7,145.0,350.1
43,1962,8,144.4,350.9
44,1962,9,145.5,353.9
45,1962,10,147.0,357.5
46,1962,11,148.8,360.5
47,1962,12,151.9,365.8
48,1963,1,152.1,369.1
49,1963,2,148.7,368.0
50,1963,3,147.8,369.8
51,1963,4,150.0,373.8
52,1963,5,147.9,373.4
53,1963,6,148.7,376.7
54,1963,7,149.9,380.2
55,1963,8,149.5,381.5
56,1963,9,151.0,384.9
57,1963,10,152.8,388.8
58,1963,11,155.2,392.3
59,1963,12,157.5,396.4
60,1964,1,157.9,399.5
61,1964,2,153.9,397.6
62,1964,3,153.1,398.9
63,1964,4,155.2,402.4
64,1964,5,152.7,401.3
65,1964,6,153.9,405.3
66,1964,7,155.5,409.3
67,1964,8,155.5,411.1
68,1964,9,157.8,415.7
69,1964,10,159.7,419.9
70,1964,11,161.6,422.9
71,1964,12,164.9,428.3
72,1965,1,165.3,432.3
73,1965,2,160.3,430.1
74,1965,3,159.9,432.2
75,1965,4,162.6,436.2
