,Year,Month,Day,EPS
0,2023,7,30,2.51
1,2023,4,30,0.83
2,2023,1,29,0.57
3,2022,10,30,0.28
4,2022,7,31,0.26
5,2022,5,1,0.65
6,2022,1,30,1.20
7,2021,10,31,0.98
8,2021,8,1,0.95
9,2021,5,2,0.77
10,2021,1,31,0.59
11,2020,10,25,0.54
12,2020,7,26,0.25
13,2020,4,26,0.37
14,2020,1,26,0.39
15,2019,10,27,0.37
16,2019,7,28,0.23
17,2019,4,28,0.16
18,2019,1,27,0.23
19,2018,10,28,0.50
20,2018,7,29,0.45
21,2018,4,29,0.51
22,2018,1,28,0.46
23,2017,10,29,0.35
24,2017,7,30,0.24
25,2017,4,30,0.21
26,2017,1,29,0.28
27,2016,10,30,0.25
28,2016,7,31,0.12
29,2016,5,1,0.10
30,2016,1,31,0.10
31,2015,10,25,0.11
32,2015,7,26,0.01
33,2015,4,26,0.06
34,2015,1,25,0.09
35,2014,10,26,0.08
36,2014,7,27,0.06
37,2014,4,27,0.06
38,2014,1,26,0.06
39,2013,10,27,0.05
40,2013,7,28,0.04
41,2013,4,28,0.03
42,2013,1,27,0.07
43,2012,10,28,0.08
44,2012,7,29,0.05
45,2012,4,29,0.02
46,2012,1,29,0.05
47,2011,10,30,0.07
48,2011,7,31,0.06
49,2011,5,1,0.06
50,2011,1,30,0.07
51,2010,10,31,0.04
52,2010,8,1,-$0.06
53,2010,5,2,0.06
54,2010,1,31,0.06
55,2009,10,25,0.05
56,2009,7,26,-$0.05
57,2009,4,26,-$0.09
58,2009,1,25,-$0.07
59,2008,10,26,0.03
60,2008,7,27,-$0.05
61,2008,4,27,0.08
62,2008,1,27,0.12
63,2007,10,28,0.11
64,2007,7,29,0.08
65,2007,4,29,0.06
66,2007,1,28,0.08
67,2006,10,29,0.05
68,2006,7,30,0.04
69,2006,4,30,0.04
70,2006,1,29,0.05
71,2005,10,30,0.03
72,2005,7,31,0.04
73,2005,5,1,0.03
74,2005,1,30,0.02
75,2004,10,24,0.01
76,2004,7,25,0.00
77,2004,4,25,0.01
78,2004,1,25,0.01
79,2003,10,26,0.00
