,Year,Month,Day,ROE
0,2023,7,30,37.54%
1,2023,4,30,19.55%
2,2023,1,29,19.76%
3,2022,10,30,27.90%
4,2022,7,31,32.46%
5,2022,5,1,35.94%
6,2022,1,30,36.65%
7,2021,10,31,34.49%
8,2021,8,1,33.48%
9,2021,5,2,28.37%
10,2021,1,31,25.64%
11,2020,10,25,24.95%
12,2020,7,26,24.36%
13,2020,4,26,25.34%
14,2020,1,26,22.91%
15,2019,10,27,21.50%
16,2019,7,28,26.53%
17,2019,4,28,33.91%
18,2019,1,27,44.33%
19,2018,10,28,49.54%
20,2018,7,29,48.91%
21,2018,4,29,49.04%
22,2018,1,28,40.78%
23,2017,10,29,40.65%
24,2017,7,30,38.27%
25,2017,4,30,32.03%
26,2017,1,29,28.90%
27,2016,10,30,22.90%
28,2016,7,31,20.60%
29,2016,5,1,16.40%
30,2016,1,31,13.74%
31,2015,10,25,13.42%
32,2015,7,26,12.57%
33,2015,4,26,13.79%
34,2015,1,25,14.27%
35,2014,10,26,13.90%
36,2014,7,27,12.31%
37,2014,4,27,11.96%
38,2014,1,26,9.87%
39,2013,10,27,10.81%
40,2013,7,28,13.36%
41,2013,4,28,12.02%
42,2013,1,27,11.65%
43,2012,10,28,10.68%
44,2012,7,29,10.64%
45,2012,4,29,11.81%
46,2012,1,29,14.02%
47,2011,10,30,16.03%
48,2011,7,31,14.73%
49,2011,5,1,7.27%
50,2011,1,30,7.96%
51,2010,10,31,7.34%
52,2010,8,1,8.53%
53,2010,5,2,9.47%
54,2010,1,31,-2.55%
55,2009,10,25,-14.30%
56,2009,7,26,-17.47%
57,2009,4,26,-17.60%
58,2009,1,25,-1.26%
59,2008,10,26,15.06%
60,2008,7,27,20.60%
61,2008,4,27,30.77%
62,2008,1,27,30.47%
63,2007,10,28,28.42%
64,2007,7,29,25.44%
65,2007,4,29,23.34%
66,2007,1,28,22.37%
67,2006,10,29,20.74%
68,2006,7,30,20.59%
69,2006,4,30,19.87%
70,2006,1,29,20.13%
71,2005,10,30,18.64%
72,2005,7,31,16.72%
73,2005,5,1,11.75%
74,2005,1,30,8.21%
75,2004,10,24,6.90%
76,2004,7,25,5.21%
77,2004,4,25,5.37%
78,2004,1,25,4.13%
79,2003,10,26,2.54%
